stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,gut,immune,iridophores,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,15.32,157.84,0,0,0,0,0,0,0,0,0,0,33.73,0
  5-6,14.35,245.25,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.24,0,0,0,0,0,0,0,0,0,8.99,8.65,0,0
 10-12,0,0,10.83,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,5.85,0,0,0
 36-46,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0.85
 48-58,0,0,0,0,0,0.68,0,0,0,0,4.26,0,0,0.83
 60-70,0,0,0,0,0,0,0,0,0,0.72,2.4,0,0,0
 72-82,0,0,0,0,1.2,0,0.67,0,0,0,12.88,0,0,2.96
 84-94,0,0,0,0,0,0.72,0,0,0,0,0.99,0,0,0
 96-106,0,0,0,0,0,0,1.1,0,1.9,0,1.43,0,0,0
108-118,0,0,0,0,0,0,0,0.98,0,0,7.95,0,0,0
120,0,0,0,0,0,13.19,0,0,0,0,0,0,0,0
