stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,90.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,90.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,33.74,5.77,0,5.9,0,0,0,0,0,0,0
 10-12,0,20.02,0,0,0,0,0,0,0,0,0,0,165.51,0,0,33.24,0,0,12.47,0,0,0,0
 14-21,0,0,0.8,0,0,0,0,0,0,0,0,1.44,6.33,0,0,0,0,1.03,0,1.68,0,0,0
 24-34,0,0,0,3.07,0,0.7,0,0,1.35,10.74,0,0.78,45.69,0,0.74,0,0,0,0,0.66,1.88,0,0
 36-46,0,0,1.02,1.33,5.35,1.66,0,0,0,0.67,0,0.67,27.57,3.73,0,0,0,0,0,0,7.19,1.03,0
 48-58,0,0,2.9,13.61,0,6.1,0,0,0,4.48,0,0,9.78,0,2.51,0,0,0,0,0,1.75,0,0
 60-70,0,0,0.72,1.26,4.52,4.95,0,0,0,6.55,0.99,0,18.53,0,0,0,0.67,0,0,0,1.8,0,0
 72-82,0,0,0,2.52,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.2,0,0,0,0,0,0,5,0,0.71,4.31,0,2.79,0,2.4,0,0,0,0,0,0.6
 96-106,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0
108-118,0,0,3.06,0,1.3,0,0.49,1.01,0,0.85,0,0,0,0,0,0,0.71,0,0,0,0,0,0
120,0,0,8.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0
