stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,100.27,2015.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,0,0,0,0,0,0,0,0,0,0
  5-6,148.1,2372.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.9,0,0,0,37.07,0,62.76,0,0,0,0,0,0,0,0,0,0
  7-9,4.99,33.52,0,9.69,0,0,0,73.89,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,498.08,4.46,0,0,179.44,0,0,11.54,0,0,0,0,0,0,0,0,0
 10-12,0,41.24,0,62.01,0,4.67,0,138.89,0,0,0,0,96.2,0,0,0,0,0,0,0,0,0,0,0,1823.86,18.87,0,0,503.92,0,0,9.82,4.76,111.74,0,0,0,0,0,0,0
 14-21,0,0,0,7.29,144.36,30.09,0,95.08,0,0,4.6,3.78,8.88,2.21,0,1.33,0.87,0,0,0,45.57,0,0,37.89,574.76,5.52,1.08,13.41,9.35,0,7.38,0,140.32,10.2,4.37,212.57,96.17,0,10.51,0,0
 24-34,0,0,0,3.71,19.73,4.61,0,90.2,0,1.24,5.54,2.9,0,0,1.47,13.76,0.85,3.23,1.92,0.69,59.27,1.24,0,17.93,500.94,0.77,1.25,4.14,0,0,9,0,0.85,0,0,41.09,91.64,0,10.19,0,0.62
 36-46,0,0,0,0,2.8,1.12,0,56.13,0.88,0.6,16.5,0.83,0,0.73,0.67,0,1.37,0.66,3.55,0,44.74,0,0,8.71,329.44,1.67,0,1.19,0,0,28.4,0,0,0,0,0.83,124.49,0,1.6,0,0
 48-58,0,0,0,0,8.21,0,0,80.28,3.3,0.88,24.13,0.92,0,0.71,0,0,0.41,0.47,1.68,2.21,47.6,0,4.19,13.15,398.47,0,0,5.58,0,0,2.93,0,0,0,0,0,127.51,0,1.71,0,1.67
 60-70,0,0,0.86,5.18,5.63,0,0,122.81,7.38,1.24,29.16,14.51,0,0,0.64,0,0,2.84,9.67,0,86.65,2.04,1.95,19.27,525.36,0.68,1.42,2.53,0,0,4.83,0,0,0,0,0,126.51,1.5,10.11,0,12.07
 72-82,0,0,0,0,14.57,0.55,0,71.03,0.55,8.03,26.65,5.29,0,0,1.9,0,0,0,4.58,0,56.39,0,2.8,16.69,328.34,0.53,0.74,1.6,0,0,2.9,0,0,0,0,0,76.06,1,9.28,0.86,5.23
 84-94,0,0,1.33,0,7.88,1.29,1.39,68.08,0,2.3,17.62,3.32,0,1.18,1.34,0.75,4.06,1.72,0,0,44.27,0.58,16.62,15.43,181.93,5.32,0,2.34,0,1.35,16.05,0,0,0,0,0,28.06,0,6.07,1.5,0.88
 96-106,0,0,0,0,10.12,2.04,0,26.82,0,1.88,12.15,0,0,3.09,4.08,1.08,1.91,0.97,0.61,6.45,42.31,2.82,1.11,16.22,181.93,0,2.01,6.65,0,2.4,24.45,0,0,0.59,0.6,0,26.73,0,1.8,0.87,1.88
108-118,0,0,0.62,0,31.66,0.5,1.46,27.27,4.49,2.26,18.82,4.8,0,1.12,5.15,0.92,1.63,2.61,0.95,0,64.06,0,4.61,19.03,208.92,0.87,2.81,2.11,0,0,11.21,0,0,0.47,0,0,39.02,0.64,4.84,4.74,0
120,0,0,3.29,0,33.43,3.14,0,38.29,0,0,24.76,5,0,2.95,1.87,2.69,0,1.48,0,0,51.83,1.59,8.42,21.84,214.57,6.69,1.11,2.38,0,0,22.34,0,0,1.02,0,0,0,0,2.09,1.96,0
