stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,slow_muscle,spinal_cord
  3-4,49.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.55,0,0,0,0,0,0,0,0,0,0,0,0,14.02,0,0
  7-9,0,0,0,0,0,0,0,0,0,30.4,7.1,0,10.53,3.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.71,0,0,0,4.2,0,1.61
 36-46,0,0,0,0,0,0,0.99,0,0,1.08,0,0,0,17.68,0,0
 48-58,0,1.29,0,0,0,0,0,1.17,0,0,0,1.98,0,1.44,0,0
 60-70,0,0,9.2,0,0,0,0,0,0,0,0,0,0,2.28,0,0
 72-82,0,0,0,0.91,0,0,0,0,0,0.81,0,0,0,1.48,0,0
 84-94,0,2.06,0,0,0,0,0,0,0,0,0,0,0,19.6,0.63,0
 96-106,0,1.48,0,0,0,0,0.94,1.41,0,0,0,0,0,13.71,0,0
108-118,0,1.63,0,0,0,1.01,0,0,0,0,0,0,0,9.91,0,0
120,0,0,0,1.02,1.92,0,4.65,0,2.44,11.03,0,0,0,11.41,0,0
