stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,20.99,182.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.87,234.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.03,0,0,0,0,22.18,0,0,0,0,0,0
  7-9,20.75,28.6,0,0,0,5.11,0,0,0,0,0,0,0,0,0,0,0,0,210.21,9.65,0,0,54.73,0,0,0,0,0,0,0
 10-12,0,20.56,30.86,0,0,26.63,0,0,0,0,5.59,0,0,0,0,0,0,0,322.33,0,0,0,124.91,0,0,14.02,0,0,0,0
 14-21,0,0,0.81,7.75,0,1.49,0,0,0,0,0,0,0.89,0,4.89,0,0,2.66,13.95,0,0.93,0,0.82,0,2.37,0,4.46,7.35,0,0
 24-34,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,3.08,0,0,2.01,13.38,0.68,0,1.42,0,1.07,0,0,0,4.37,0,0
 36-46,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,5.7,0,0,3.31,8.47,0,0,0,0,0,0,0,0,1.75,0,0
 48-58,0,0,0,0,0,4.69,0,0.45,1.57,0,0,0,0,0,7.85,0.52,0,0.45,16.17,0,0,0,0,0,0,0,0,0.77,0,0
 60-70,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,2.66,0,0,1.04,3.87,0,0,0,0,0,0,0,0,1.5,0,0
 72-82,0,0,0,4.62,3.08,5.73,0,0,0,0,0,0.53,0,0.62,7.05,0,0,0,2.95,0,0,0,0,0,0,0,0,6.42,1.62,0
 84-94,0,0,0,3.15,1.59,1.65,0,0,0,0,0,0,0,0,8.88,0,0,0.7,5.81,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,6.54,0,0,0,0,0,0,0,0,10.04,0,0.68,0.57,2.86,0,0,0,0,1.61,0,0,0,0,0,0
108-118,0,0,0,0.45,0,0,0.74,0.73,0,0.55,0,0,0,0,0.63,0,0,0,0.84,0.51,0,0.58,0,0.66,0,0,0,0,0,2.31
120,0,0,0,0,0,8.92,0,0,0,0,0,0,0,0,12.69,0,0,1.92,7.09,0,0,0,0,0,0,0,0,0,0,0
