stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.9,19.76,0.92,0,10.89,0,4.08,0,3.24,0,0,0,1.13,8.84,0,10.3,224.08,2.55,1.13,1.38,2.78,8.48,13.51,1.73,11.53,74.87,0,0,0,0
 24-34,0,1.21,0.67,0,18.42,0,4.78,0,0,0.7,0,0.96,0,20.25,0,8.33,267.62,0.62,0,1.76,0,0,0,0,3.22,70.78,0,1.82,0,0.62
 36-46,0,0,0,0,47.14,0,7.66,0,0,0,0,0,0,13.49,1.14,4.16,179.73,0,2.23,0,0,0,0,0,0,45.42,0,7.63,0,1.27
 48-58,0,0.93,0,0,66.46,0,7.99,0,0,0.38,0,0,0,8.93,0.54,2.79,91.52,0,1.24,0.37,0,0,0,0,0,15.75,0,0,0,0
 60-70,0,1.27,0,0,32.55,0,15.8,0,0,0,0.65,0,0,7.46,0,0.68,42.82,0.93,5.58,0,0,0,0,0,0,3.77,0,0,0,0
 72-82,0,0.66,0,0,5.4,0,4.9,0,0,0,0,0,0,5.52,0,0.67,17.93,0,1.07,0,0,3.34,0,0,0,0,0,0,0,0
 84-94,0,1.86,0.58,0,13.49,0,1.21,0,0,0,0,0,0,6.32,1.05,2.29,13.92,0,0,0,0,0,0,0,0,1.22,0,0.66,0,0
 96-106,0,1.41,0,0,17.94,0,7.51,0.94,0,0,0,0,0,4.2,0,0.77,23.74,0,0.69,1.37,0,0.72,0,0,0,0,0,0.61,2.14,0
108-118,0,0,0.51,0.85,3.63,0.76,4.75,0,0,0,0,0,0,8.45,0,3.78,14.94,0,1.44,0,0,0,0,0,0,0.62,0.58,1.78,0,3.41
120,0,1.6,0,0,16.4,0,7.75,0,0,0,0,3.29,0,1.78,0,3.37,19.01,0,0,3.34,0,0,0,0,0,0,0,0,0,0
