stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.36,0,0,3.65,0.96,11.34,0,0,0,0,0,0,0,0,0.87,0,1.25,11.62,0,2.68,7.38,0,0,0,0.99,0,4.19,1.04,0.89,2.55,9.15,0,0,53.58
 24-34,0,0,0.82,2.57,0,146.57,0,0,0,5.45,0,0.76,0,0,8.01,0,0,38,0,19.06,74.21,0,0,1.78,0,0,1.83,0,0,0.66,3.41,13.67,0,300.76
 36-46,0,0.85,0,0.57,0,116.67,2.88,0,2.82,2.48,0,2.44,0,0,8.25,8.48,0,33.8,0,7.67,22.62,0,1.52,0,0,0,0.9,0,0.6,0,10.85,1.58,0,271.35
 48-58,0,0,0,0.38,0,121.2,0,0,2.37,5.33,0,1.53,0,0,41.42,0,0,30.22,0.4,4.8,55.45,0.51,0,0.39,0,0,0,0,0.46,0,3.94,2.2,0,352.25
 60-70,0,0,0,0,0,156.45,0,0,0,7,0.89,0,0.8,0,67.44,0,3.12,34.84,0,1.4,34.79,0,0,0,0,0,0,0,0,0,8.53,0,0,303.62
 72-82,0,0,0,2.67,0,133.87,0,0,0,2.69,0,0,0,0,51.15,0,0,33.94,1.24,4.47,23.67,0,0.58,0,0,1.97,0,0,0,0,1.14,3.69,0,229.27
 84-94,0,0,0,1.3,0,220.96,0,0,0,4.23,1.31,0,0,0,109.27,0,0,25.16,3,2.05,16.83,0,0,0,0,0,0.6,0,0,0,1.53,0,1.74,199.82
 96-106,0,0,0,1.52,1.15,169.94,0,0,0.6,11.33,0.56,0.71,1.99,1.67,144.1,0.7,7.05,19.79,0.96,2.98,32.1,0,0,0,0,4.28,3.44,0,0,0,0,0,0,293.83
108-118,0,0,0,4.02,4.33,187.32,0,0.78,0.56,5.14,1.43,0,0.43,0,262.07,0,3.56,29.2,0.94,1.04,28.96,0,0.42,3.91,0,0,0,0,0,0,0,0,0,330.49
120,0,0,0,5.99,0,98.32,2.11,0,0,26.84,1.92,0,0,0,156,0,1.55,18.19,0,1.68,78.78,8.4,0,0,0,0,0,0,0,0,0,0,0,131.11
