stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5.08,0,0,8.47,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.09,0,0,0,0,0,0,0,0,0,20.95,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.04,1.02,0,0,0,0,0,0,0,0,0,0,2.08,7.53,0,0,0,1.09,0,0,0,4.85,0,0,0
 24-34,0,1.9,0,0,2.75,0.75,0,0,0,0,2.27,0,8.63,1.01,37.14,0,0.72,0,0,0.71,0,1.25,5,0,1.54,0
 36-46,0,0,0,0,5.55,1.06,0,0,0,0,0,0,0,0.95,43.43,1.31,0,0,0,0,0,0,9.83,0,0,0
 48-58,0,0,0,0,17.05,6.16,0,0,0.55,0,0,0,5.63,0.4,33.64,0,0,0,0,3.28,0,0,3.17,0,0,0
 60-70,0,0,0,0,11.15,0,0,0,0,0,0,0,3.88,0,42.37,0,0,0,0,0,0,0,4.84,0,0,0
 72-82,0,0,0,0,10.94,0,0,0.52,1.27,0,0,0,0.88,0,32.1,0,0.87,0,0,0,0,0,0,0,2.74,0
 84-94,0,0,0,0,7.24,2.66,0,0,0,0.67,0,0,15.45,0,28.89,0,0,0,0,0.57,0,0,2.08,0,0,0
 96-106,0,0.62,0,0,8.13,1.19,2.43,0,0,1.62,0,0,6.16,0,54.12,0,0,0.62,0,0,0,0,0,0,0,0
108-118,0,0.42,0,0.75,3.07,0,0,0,0,1.75,0,0.84,7.36,0,57.77,0,0,0,0,0,0.54,0,0,0,0,0.44
120,0,0,0,0,7.39,0,0,0,0,0,0,0,0,0,55.48,0,0,0,0,12.95,0,0,0,3.52,0,0
