stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,32.39,202.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.48,189.61,0,0,0,0,0,0,0,0,0,0,7.41,11.17,0,0,23.36,0,0
  7-9,0,0,0,17.84,0,0,0,10.46,0,0,0,0,46.87,6.46,0,26.88,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,40.55,0,0,0,0,0,0
 14-21,0,0,1.01,0,0,0,0,0,0,0,0,0,1.77,1.75,0,0,9.85,0.84,1.04
 24-34,0,0,0.6,3.5,0,0,0,0,0.85,0,0,0,7.46,0,0,0,10.66,0,5.1
 36-46,0,0,0,0.58,0,0,0,0,0,0,0,0.65,5.08,0,0,0,5.31,0,0
 48-58,0,0,0,0.45,0,1,0,0,2.08,0.74,0.71,0,2.47,0,0.67,0,4.42,0,1.53
 60-70,0,0,0,0.6,0,1.72,0,0,0.62,0,0,0,0,0,0,0,1.33,0,0
 72-82,0,0,0,0.93,0.7,0,0,0,0.73,0,0,0,6.59,0,0,0,2.84,0,4.14
 84-94,0,0,0,0,0,0.78,0,0,4.37,0,0,0,4.76,0,0,0,9.55,0,0
 96-106,0,0,0,24.56,0,4.29,1.28,0,3.75,0,0,0,5.47,0,2.89,0,5.78,0,0
108-118,0,0,0.52,15.44,0,0,1.46,0,0.61,0,0,0,0.78,0,1.76,0,1.46,0,0
120,0,0,0,4.48,0,0,8.89,0,0,0,0,0,8.24,0,0,0,3.25,0,0
