stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0
 14-21,4.74,0.89,1.75,0,0,0,0,0,7.08,1.86,0,1.45,13.81,0.92,0,0,0,0,4.38,0,2.74,0
 24-34,2.18,0,5.95,0,0,3.74,0,0,0,2.66,0,0.6,8.68,0,4.62,1.31,0,0,3.11,0,10.37,0
 36-46,2.64,0,0.71,0,0,4.24,0,0,1.46,12.27,0,1.96,2.11,0,1.17,1.53,0,0,3.74,0,16.29,0
 48-58,0,0,0,0.47,0.8,1.48,0,0.5,0,13.24,0,0.4,4.71,0,2.16,0.37,0,0,1.54,0,4.44,0
 60-70,1.42,0,0,0,0,2.43,0,0,0,45.37,11.31,1.1,4.12,0,2.28,0,0,0,0.89,1.31,12.31,0
 72-82,0.68,0,4.81,0,0,1.32,0.79,0,0,27.96,4.02,0.71,1.16,0,1.25,0,2.14,0,0,0,5.2,0
 84-94,2.38,0,3.02,0,1.92,6.08,1.52,0,0,38.99,0,1.23,0,0,0.93,0,0,0,0,0,11.06,0
 96-106,0,0,17.9,0,1.88,5.04,2.28,0,0,18.77,0,1.37,0,0.59,0,0,0,0,0,0,1.89,0
108-118,0.86,0,3.72,0,1.16,7.04,0,0,1.48,15.99,2.51,0,0,0,0.64,0.74,0,0,8.04,0,2.72,1.02
120,1.13,0,0,0,0,0,0,0,2.89,28.63,0,0,3.24,0,0,0,0,0,0,0,0,0
