stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,268.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.86,0,0
  5-6,0,120.08,0,0,0,0,0,0,0,0,0,0,0,0,25.16,0,0,20.44,0,0
  7-9,13.59,0,0,0,11.11,0,0,0,0,0,0,0,0,0,85.09,0,0,5.78,0,0
 10-12,0,13.78,6.21,0,4.85,0,0,4.6,0,0,0,0,0,0,408.72,0,34.18,0,0,0
 14-21,0,0,1.71,22.32,3.31,0,0,0,0,0,0,3.07,0,1.43,6.97,11.36,0,2.41,0,0
 24-34,0,0,0,5.52,0,0,0,0,0,0,0,13.71,0,0,9.93,6.26,0,5.29,1.08,0
 36-46,0,0,0,0.57,0,0,0,0,0,0,0.76,8.53,0,0,17.74,3.22,0,6.66,1.73,0.71
 48-58,0,0,0,1.87,1.86,0,0,0,0,0,0,10.56,0,0,31.36,7.95,0,5.47,1.85,0
 60-70,0,0,0,0,7.48,0,0,0,0,0,2.35,4.86,0,1.67,50.65,24.92,0,7.55,4.03,0
 72-82,0,0,0,0,6.45,1.6,0,0,0.58,0,2.54,4.15,0,0,28.89,33.84,0,0,0,0
 84-94,0,0,0,0.6,6.8,0,0.68,0,0,0,6.33,4.91,1.22,1.26,46.96,109.54,0,3.63,0,0
 96-106,0,0,0,0.67,1,0,0,0,0,4.79,6.68,1.76,0,2.53,37.45,107.15,0,3.23,0,0
108-118,0,0,0,0,0,0,2.82,0,0,0,3.65,5.04,0,1.9,36.68,126.02,0,4.3,0,0
120,0,0,0,1.16,0,0,3.68,0,0,0,1.57,0,0,0,79.7,237.18,0,0,0,0
