stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.98,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.18,0,0,4.26,0,0,0,0,0,0,0,0
 14-21,0,0,5.03,0.88,1.12,0,0,0,0,0,0,0,1.86,0,0,0,29.4,0,0,0,0,8.59,0,0,13.45,0,0,0
 24-34,0,0,0.61,0,12.49,0,0,0,0,0,0,0,6.39,0,0,3.18,45.41,0,0,0,0,0,1.45,1.31,2.39,0,0,1.04
 36-46,0,0,0,0,12.8,0,3.44,1.14,0,0,0,1.51,0.69,0,0,2.73,34.27,1.72,0.8,0,1.85,0,0,0,9.29,0,1.75,0
 48-58,0,0,0,0,9.09,0,0,8.71,0,0,0,0,5.86,0,0,1.5,25.11,0,0,0,0.38,0,0,0,5.67,0,2.55,0
 60-70,0,0,1.41,0,7.92,0,0,1.64,0,0,0.59,0,6.52,0,1.84,0.74,11.21,0,0,0,2.91,0,0,0,1.5,0,0,0
 72-82,0,0,0,0,6.19,0,0,1.29,0,0,1.43,0,7.22,0,0,0,20.12,0,0,0,0,0,0,0,0.91,0,1,0
 84-94,0,0,1.74,0,5.36,0,0,6.19,0,0.7,0,0,2.58,0.61,0,0,3.31,0,0,0,2.94,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.56,0.64,0,0,0,0,0,0,6.07,0,0,0,6.17,0,0,0,0,0,0,0,1.19,0,2.02,0
108-118,0,0,1.05,0,5.1,0,0,7.75,0.42,0,0,0,3.24,0,0,0,16.5,0,0,0,0.93,0,0,0,3.76,1.01,0,0
120,0,0,6.24,0,0,0,0,0,0,0,0,0,12.02,0,0,0,5.27,0,0,0,0,0,0,0,0,0,0,0
