stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.41,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.57,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,60.1,6.27,0,7.93,0,0,0,0,4.82,0,0,0,0,0,0,0,25.82,0,0,10.58,73.8,0,0,0,7.1,0,0,0,1.69,9.44,4.08,32.29,0,0,0,0,0
 24-34,0,0,19.99,0,0,3.93,0,0,0,1.59,0.67,0,0,0,2.29,0,0,0,66.65,0,0,12.39,15.55,0,0.69,0,0,0,1.37,0,0,11.9,0,3.01,0,0,0,0,1.55
 36-46,0,0,3.64,0,0,6.13,0,0,0,0.74,0,0,0,0,1.24,0,0,0,258.9,0.77,0,30.24,32.57,0,0,0,0,1.94,0,0,0,11.4,0,5.93,0,0,0,0,0
 48-58,0,0,42.58,0.45,0,2.1,0,0,0,0,0,0.86,0.55,0,2.88,0,0,0,470.01,0,9.01,44.51,14.5,2.65,0,0.48,0,0.79,4.62,0,0,2.25,0,1.95,0,0,0,0,1.25
 60-70,0,0,10.41,0,0,5.59,0,2.18,3.42,1.89,0,0,0,9.57,33.52,0,0.73,3.59,1087.84,0,0,67.41,24.53,0,0,3.26,0,5.99,13.17,0,0,11.53,0,4.13,0,4.6,0,3.03,0
 72-82,0,0,30.29,2.66,0,80.95,1.33,3.55,6.39,10.61,0.51,0.52,11.1,0,8.62,0.57,0,0,1973.83,0.51,12.64,89.27,55.71,0,0,0,0,1.1,16.18,0,0,34.19,0,4.56,0,25.39,0.94,24.74,0
 84-94,0,0,58.58,0,0,78.68,0,0.75,9.57,1.34,0,0,5.25,1.96,29.16,0,0,0,1124.49,0,14.3,64.98,25.67,0,1.4,0,0,8.98,57.88,0,0,19.26,0,1.25,1.05,10.04,0.57,36.32,0
 96-106,0,0,101.69,29.9,0.98,72.65,0,10.83,10.34,9.2,2.11,0,20.17,1.46,125.44,0,0,14.06,1531.2,2.59,8.18,26.08,61.55,0,2.07,0,0,0,212.11,1.91,0,39.2,0,8.02,1.01,14.21,0,52.96,0
108-118,0,0.49,93.03,1.44,0,82.05,0,31.73,0.74,6.66,0,0,11.28,0,28.97,0.44,0,1.66,2552.36,6.2,15.95,61.39,106.95,0,0,0.48,0,6.34,358.99,0,0,16.62,0,0,0,4.32,0.43,20.96,4.96
120,0,0,36.62,2.03,0,49.17,0,33.36,2.17,5.75,0,0,8.94,0,16.69,0,0,0,1086.89,0,80.3,50.71,109.64,0,0,0,0,2.76,202.24,14.98,0,12.53,0,14.56,2.31,3.24,4.29,8.48,10.22
