stage,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,pericytes,somites,spinal_cord,visceral_smooth_muscle
 14-21,0,0,0,0,0,1.81,0,0,0,0,0,1.89,0,1.2,6.07,0
 24-34,0,0,0,0,0.9,2.38,0,0,0.85,0,0,4.56,0,0,26.75,0
 36-46,0,0,0,0,0,0.65,0,0,4.16,0,1.39,4.33,0,0,26.94,0
 48-58,0,0,0,0,0,0,0,0,13.06,0,0.81,2.83,0.97,0,16.02,0
 60-70,0,0,2.6,0,0.9,14.73,0,0,43.47,0,0,1.6,0,0,16.83,0
 72-82,0.75,0,8.86,0,3.98,47.33,0,0,63.11,1.15,0,2.62,0,0,6.31,0
 84-94,0,0,7.42,0.91,1.12,49.81,0,1.35,41.33,0,0.79,2.31,0,0,2.77,0
 96-106,0,0.83,16.04,0,0,33.73,0,0,49.75,0,1.08,7.61,0,0,5.57,0.93
108-118,0,0,7.78,0,1.03,52.57,0,0,28.7,0,1.69,4.05,0,0,3.62,0
120,0,0,53.54,0,0,38.37,7.39,0,38.1,0,0,2.14,0,0,4.66,0
