stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,200.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.17,149.34,0,0,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.87,0,0,0,48.27,0,0,0,0,9.04,0,0,0,0,151,0,0,50.27,0,0,0,0,0,0,0
 10-12,0,0,10.57,0,0,27.82,0,0,0,0,0,0,0,0,0,129.16,0,0,13.74,0,4.05,0,0,0,0,0
 14-21,0,0,0,0,0,1.93,0,0,1.18,0,0,0,0,0.97,0,37.44,0,0,0.97,0,0,1.06,1.08,11.31,0,0
 24-34,0,0,0,0.65,0,6.67,0,0,0,0,0,0,0,2.34,0,40.26,0,3.66,0,0,2.18,0,0,9.01,0,3.39
 36-46,0,0,0,0,0,1.63,2.95,0,4.36,0,0,0,0,2.32,0.62,43.54,0,0,0,0,0,0,0,9.74,0,0
 48-58,0,0,0,0,0,4.58,0,0,1.29,0,0,0,0,2.33,0,34.3,1.12,0.89,0,0,0.37,0,0,5.56,0,0
 60-70,0,0,0,2.17,0,14.18,0,0,2.46,0,0,0,0,2.07,0,33.13,0,2.92,0,0,2.8,0,0,7.04,0,0
 72-82,0,0,0,0,0,6.26,0,0,2.87,0,0,0.64,0.79,2.85,0,53.9,6.5,0.49,0,0,2.21,0,0,4.35,0,0
 84-94,0,0,0,2.32,2.22,5.21,0,0,1.96,0.67,0,0,1.03,2.82,0,26.5,0.64,1.27,0,0,2.36,0,0,0.69,0,0.84
 96-106,0,0,0,0,0,2.36,0,1.06,9.34,0,0,0,0,0.85,0,12.51,0,0.67,0,4.36,15.48,0,0,6.92,0,1.82
108-118,0,0,0,1.83,0.94,2.44,0,0,9.6,0.88,0,0,0.69,12.31,0,34.28,1.86,3.27,0,0,19.51,0,0,0.7,1.09,0.65
120,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,43.46,0,0,0,0,2.18,0,0,0,0,2.42
