stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,183.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.06,0,0,0,0,0,0,0,0,0,0
  5-6,96.4,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.46,0,0,0,22.27,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.04,0,0,0,4.34,0,4.05,0,7.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.13,1.06,0,2,0,0,0,1.09,0,0,0,0,0,0,0,0,0,1.03,0,0,0,9.03,1.47,0,0,0,0,0,0,1.66,0,3.17,2.92,0,0,0,0,0
 24-34,0,0,0,5.48,0,0,3.65,0,0.86,0,0.87,0,0,0,0,0.79,0,0.66,0,0,11.38,0,0,1.03,45.32,0,4.19,0,0,0,7.38,0,1.3,0,3.54,10,0,0,0,0,0
 36-46,0,0,0,1.38,0,0,8.87,0,4.84,0,4.9,0,0,0.68,1.78,0,0,0,0,8.04,11.87,0,0,3.59,187.15,0.71,7.12,0,0,0,5.61,0,0,0,0,30.66,0,0,1.04,0,1.26
 48-58,0,0,0,4.07,0,0,46.8,1,0.46,0.39,17.19,0,0,0,0,0,0,0,0,0,17.13,0.57,0,4.02,235.93,0,7.94,2.62,0,0,13.75,0,0,0,0,40.68,0,0.61,2.07,0,0
 60-70,0,1.1,0,1.53,0,0,147.23,0.81,0.65,1.03,30.34,0.6,0,0.6,0,0.86,0,1.02,1.32,0,13.44,0.9,0,0,268.06,1.03,3.93,9,0,0,15.2,0,1.68,0,0,48.79,0,0,1.05,0,0
 72-82,0,0,0.75,9.15,0,1.65,216.62,0,0,1.32,25.28,5.23,0.6,2.73,4.9,4.91,0,2.29,19.57,0,42.99,7.43,0,1.8,280.85,0.77,4.79,1.46,0,0,16.8,0,0,0,0,25.84,0,0,2,0,0
 84-94,0,0,0,17.94,3.21,0.66,144.79,0,1.41,0.6,17.12,2.2,0,0,2.6,4.04,0.74,0.76,49.04,0,35.1,0,1.37,12.69,101.88,0,5.67,4.87,0,0,34.91,0,1.63,0,0,32.19,0,0,9.69,1.25,0
 96-106,0,0,0,6.94,5.14,0.63,137.2,0.93,2.47,0,43.48,1.57,0,1.53,1.81,1.67,0,7.06,133.75,3.95,30.43,0.69,0,5.33,146.15,0,3.13,9.05,1.2,1.44,28.13,3.39,1.46,0,0,13.61,0.62,0.85,0.69,0,11.03
108-118,0,0.84,0,17.77,1.42,10.8,107.96,0.46,3.2,2.44,14.7,2.32,0,2.95,2.28,1.72,1.21,1.47,223.47,0,12.47,2.42,1.62,2.15,160.58,0.77,12.2,3.07,0,0,35.79,0,0,0.63,0,4.41,2.16,0.57,0.75,0.98,9.65
120,0,0,0,11.33,3.66,1.06,98.86,0,0,0,53.8,1.52,5.2,0,0,1.41,0,3.07,90.2,0,10.61,4.77,0,5.66,275.79,2.14,4.98,4.59,0,9.96,19.47,0,0,0,0,11.98,6,0,4.78,3.44,0
