stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,0,0.87,0,0,0,0,0,1.44,0,0.89,0,0,0,0,0,0,1.01,0,0,0,0,0.9,12.3,0.81,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.44,0,0,2.71,0,0,0,0,0,0,4.15,0,0,0,0,0,29.93,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.84,3.83,0,0,0,0,0
 48-58,0,0,0,0,1.42,0.69,0,0,1.47,0.39,0,0,0,0,0,0,0,0.52,1.38,13.78,0,0,0,0,0,16.53,0.38,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.64,9.79,0,0,0,0,0,3.26,0,0,0,2.23,0,0,0,0,0,22.89,0.9,0,0,0,0,0
 72-82,5.07,0,0,0.55,7.65,0,0,1.17,5.44,92.33,0,0,0,2.49,3.3,3.34,0,0,0.51,28.25,0,0,0,4.67,0,15.47,0,0,0,0,0,0
 84-94,28.77,0,0,0.6,12.99,0,0,0,0,162.91,0,0.65,0.8,0,0,0,0,0,0,13.91,0,0,0,0,0,14.06,5.05,0,0.64,1.26,0,0
 96-106,24.67,0,0,9.71,26.67,0,1.24,2.93,2.55,597.5,0,1.21,0,0.57,0.8,6.08,2.02,1.67,0,116.87,2.1,1.59,0,9.11,0,46.96,0,3,0,1.25,0,6.14
108-118,27,0,3.04,0.52,43.34,0.91,0,0,2.59,964.6,0,1.46,0,0,7.87,12.14,0.49,0,1.1,125.86,0,0,0,6.77,0,93.35,0,0,0,2.51,0.58,0
120,13.91,0,0,0,10.59,0,3.37,0,4.52,834.64,0,0,0,0,53.44,17.87,0,0,0,216.31,0,2.34,0,0,0,48.97,0,0,0,0,1.8,0
