stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,500.48,7679.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.2,0,0,0,0,0,0,0,0,0,0
  5-6,1203.21,16733.05,0,21.17,0,0,0,0,0,0,0,0,22.43,0,0,0,0,0,0,0,0,0,0,425.53,34.73,0,0,89.8,260.06,0,0,0,0,0,0,0,0,0,0
  7-9,186.41,476.94,0,594.1,0,0,0,1291.95,0,0,0,0,242.84,0,0,0,0,0,0,0,0,0,0,12591.67,267.52,0,0,4232.19,14.4,45.42,0,9.82,0,0,0,0,0,0,0
 10-12,0,299.52,0,298.71,0,51.28,0,626.09,0,0,0,0,19.51,0,0,0,0,0,0,0,0,0,0,8061.05,116.45,0,0,2736.39,4.05,33.67,0,295.04,13.62,5.88,0,0,0,0,0
 14-21,0,0,0,3.11,14.55,10.51,0,10.29,0,0,15.77,3.47,0,0,0,0.96,0,0.84,0,34.26,0,0,31.28,541.98,7.41,1.81,0,12.84,15.82,0,37.18,0,13.69,155.2,0,0,1.69,0,0
 24-34,0,0,0,0.75,11.98,1.85,0,278.96,0,1.96,28.06,0,0,1.13,1.89,1.24,2.99,2.93,0,103.94,0,1.79,47,1591.51,2.41,2.75,4.19,0,13.26,0,0,0,4.23,290.14,0,0,4.9,0,0
 36-46,0,0,0,0.56,35.98,5.33,0,350.51,5.33,0.57,31.04,0,0,0,9.28,0,1.88,0,24.59,58.33,0,1.36,6.43,1283.61,0.64,4.66,3.25,0,42.16,0,1.63,0.63,0,123.67,0,0,7.16,0,0
 48-58,0,0,0,0,48.62,4.79,0,294.98,5.92,0.48,48.17,4.65,0,0.47,3.02,7.12,9.41,1.59,15.01,44.13,0,4.44,6.35,741.5,9.52,5.83,20.81,0,13.53,0,0,0.43,2.82,68.41,0,0,24.91,0,0
 60-70,0,0,0,0,27.8,5.21,0,222.43,1.53,0.86,44.09,16.85,0,0,0,5.28,0.63,1.39,4.68,62.46,2.44,13.48,17.6,408.11,0,0.63,13.34,0,5.22,0,0,0,0,36.53,0,0,11.83,0,5.8
 72-82,0,0,0.8,0,6.03,5.83,0.76,147.43,0,2.15,54.6,4.1,0,2.38,2.46,3.22,2.2,1.74,1.82,56.84,0,7.78,12.97,269.35,0.55,3.82,2.52,0,3.96,0,0,0,0,11.88,0,0.87,4.59,0.93,5.89
 84-94,0,0,0,0,1.62,0,0,49.74,0,0.94,30.6,0.68,0,0,3.18,0.69,0,2.29,4.22,24.3,0,0,5.64,105.93,1.25,3.38,0.97,0,0,0,0,0,0,0,0.68,0,7.45,0,0
 96-106,0,0,0,0,1.53,0,3.15,27.72,0,0,19.83,1.26,0,0.86,0.56,0,0,2.17,0,10.78,0,0,0,60.33,0,4.08,0,0,3.15,0,0,0.67,0,0,1.17,0,0.71,0,3.35
108-118,0,0,0,0,3.99,0,0,30.63,0,0,14.83,1.85,0,0,1.22,0,0,0,2,5.11,0,0,1.15,82.56,0,0,0,0,0.44,0,0,0,0,4.27,0,0,0.88,0,1.27
120,0,0,0,0,5.62,0,0,58.81,0,0,53.16,0,0,0,0,0,0,0,0,14.02,0,0,10.78,86.05,0,0,7.79,0,1.83,0,0,1.14,0,1.75,0,0,2.35,0,0
