stage,axial,blastomeres,epidermis,eye,fast_muscle,glial,heart,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature
  3-4,0,24.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.25,0,0,0,0,0,0,0,0,0,6.2,4.29,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.75,0,0,0,0,0,0
 14-21,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,1.21,0,0
 24-34,0,0,0,4.15,0,0,1.21,0,0,0,6.52,0,0,5.13,3.43,0,0
 36-46,0,0,0,0.91,0,0,0,0,0.77,0.95,29.12,0,0,0,5.14,0,0
 48-58,0,0,0,15.97,0,0,0,0,0,0,31.01,0,0.69,0,12.45,0,0
 60-70,0,0,0,50.38,0.66,0,0,0,0,0,44.36,0,0,0,10.78,0,0
 72-82,0,0,2.37,58.09,0,3.7,0,0,0,0,89.54,0,0,0,8.83,0,0
 84-94,0,0,0,83.86,2.3,4.43,0,0,0,0,52.93,0,0,0,12.29,1.63,0
 96-106,0,0,0,88.62,0,2.27,0,0,0,0,48.36,0,0,0,1.35,0,0
108-118,0,0,0,60.59,0,2.32,0,0,0,0,60.78,0,0,0,0,0,0.46
120,0,0,0,59.94,0,7.28,0,1.5,0,0,82.72,0,0,0,7.12,0,0
