stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,visceral_smooth_muscle
  3-4,744.22,24774.83,0,0,0,0,0,0,0,0,0,0,0,0,1500.83,0,0,0,0,0
  5-6,783.57,6805.05,0,0,0,0,0,18.63,0,0,0,298.27,16.8,0,168.37,0,0,0,0,0
  7-9,33.53,15.31,23.19,0,44.48,0,0,44.89,0,0,0,358.29,16.92,86.68,0,32.35,0,0,0,0
 10-12,0,11.93,4.28,0,19.34,0,0,0,0,0,0,47.96,4.69,130.43,0,0,0,0,0,0
 14-21,0,0,0,21.41,3.67,0,0,0,0,2.84,0,3.58,2.46,14.66,0,0,26.03,5.17,11.45,0
 24-34,0,0,0,0,0,0,0,0,11.09,0,0,6.46,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,1.19,1.43,0,0,0,0,4.27,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.43,0,0,0,0,0,0,8.12,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.94,0,0,0,0,0,0.9,6.04,0,0,0,0,0,0,9.88,0
 72-82,0,0,0,0,1.21,0,0,0,0,1.18,0,4.22,0,0,0,0,0,0,0,0.49
 84-94,0,0,0,0,0,0,4.8,0,0,0,0,1.42,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.26,0,6.25,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.41,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,11.95,0,17.18,0,0,0,0,0,0,0,0
