stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,68.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,86.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.5,0,0,0,15.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.6,0,0,0,36.32,0,0,0,0,0,0,0,0
 10-12,12.4,0,0,0,26.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.98,0,0,0,63.55,0,0,3.38,0,0,0,0,0
 14-21,0,0,2.1,0,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,30.9,2.33,0.89,0,2.99,1.2,7.31,0,6.86,13.99,2.8,0,0
 24-34,0,0,0,0,11.04,0,0,0.67,3.28,0,0,0,0,0,2.07,0,0,5.26,0,2.43,67.64,2.37,0.65,0,0,0,0,0.73,0,11.91,2.31,0,0
 36-46,0,0,0,0,9.38,0,0,0,3.15,0,0,0,0,0,0.65,0,0,6.06,0,1.72,37.1,0,0,0,0,0.6,0,1.02,0,9.35,0,0,0
 48-58,0,0,0,0,21.5,0,0,0.69,1.75,0,0,0,0,0,0.39,0,0,6.38,0,1.29,14.72,0,2.89,0,0,0,0,0,0,2.68,0,0,1.31
 60-70,0,0,0,0,6.09,0,0,0,1.75,0,0,0,0,0,0,0,0,9.65,1.02,1.49,9.66,0.65,0,0,0,0,0,0,0,1.36,0,0,0
 72-82,0,0.69,0,1.36,8.12,0,0,0,12.22,0,0,0,0,0,0,1.48,0,33.02,0,1.85,17.13,2.64,0.93,0,0,0,0,0,0,1.64,0.63,0,0
 84-94,0,0,0.7,14.89,4.56,0,1.03,0,10.35,0.56,0,0,0,0.73,0,1.39,0,10.38,8.65,0,8.61,0.98,0,0,0,1.2,0,0,0,0,0,0,0
 96-106,0,0,5.24,16.15,9.73,0,4.65,0.84,13.55,0,1.06,0,0,0,0.79,1.34,0.76,32.72,0,0.57,15.23,0,17.55,0.59,0,2.53,0,0,0,8.13,6.72,1.5,0
108-118,0,0,0,11.58,6.6,0.7,0,1.23,24.1,0.92,0,0,2.39,0.67,0.53,0.59,0,50.28,0,2.65,32.71,1.04,2.39,1.97,0,3.33,0,0,0,0,2.17,0,0.49
120,0,0,4.03,35.05,13.26,0,0,0,25.12,0,0,2.63,0,4.71,0,0,1.42,12.61,0,1.98,15.85,0,1.15,0,0,8.75,0,2.39,0,0,3.45,0,0
