stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,308.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.74,175.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,0,7.58,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.8,0,8.66,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,7.17,0,0,73.4,0,0,20.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.58,0,24.42,0,8.88,0,10.74,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0,0,484.05,20.82,0,0,94.76,0,4.33,10.89,9.31,19.78,0,5.05,0,0,0,0,0,0
 14-21,0,0,1.09,2.12,23.01,1.69,0,1.71,0.88,0,0,4.48,0,0,0,1.15,0,0,29.93,0,8.96,0,0,5.34,23.73,4.67,0,1.05,1.12,0,31.6,0,9.56,2.6,0,7.38,5.9,0,0,0.98,0,0
 24-34,0,0,0,1.41,13.92,0.67,0,4.25,11.62,0,0.84,0,3.53,2.03,0.62,0.68,0,3.48,82.26,0,5.67,0,0,3.14,63.39,2.18,1.22,0.64,0,0,84.71,0,0,2.93,0.7,1.35,7.1,0,0,15.59,0,0
 36-46,0,0,0,0,26.29,0,0,9.83,4.57,1.64,5.59,0.59,0,0,2.2,7.84,0,0,33.42,0,11.62,0,0,3.7,50.83,0.92,0,3.19,0,0,77.25,0.78,0,18.09,0,0,7.3,0,0.85,7.39,0,1.54
 48-58,0,0,0,0,21.48,0,0,11.65,10.27,2.32,6.63,0,0,0.55,7.03,0,0,0.95,18.28,0.85,21.05,0.63,0.51,2.51,38.47,0,0,1.78,0,0.56,64.99,0,0,0.92,0,0,3.11,0,0,21.02,0,0
 60-70,0,0,0,0,11.32,0,0,9.59,6.83,1.03,10.51,0,0,0.88,4.86,5.68,3.59,1.55,7.44,3.44,32.11,1.48,0.95,0.75,12.17,0,1.15,1.88,0,0,74.31,0,0,0,0,0,0,0,0,12.61,0,6.06
 72-82,0,0,0.69,0,19.55,0.51,0,10,6.43,2.96,2.3,0.54,0.58,1.12,11.81,3.69,0,0.63,15.32,3.71,28.47,10.8,1.32,3.34,18.17,0,1.49,4.64,0,0,61.34,0,0,0,0,0,0,0.69,0,14.04,1.63,1.88
 84-94,0,0,1.26,0,47.79,0,0,3.72,17.11,0.7,1.28,1.63,4.66,0,3.63,6.08,0,6.68,6.03,0.83,19.54,5.46,3.87,0,18.34,0,0.71,2.52,0,6.05,153.94,0,0,2.04,0,0,0,0.61,6.29,18.92,0,0
 96-106,0,0,0,0,34.18,0,1.07,20.12,7.68,2.96,5.95,4.64,0,3.19,11.79,1.61,0,3.26,0.84,0,29.18,6.1,1.96,1.93,30.97,0,3.29,5.82,0,0,226.57,0,0,1,1.64,0,1.89,0.59,0,16.35,1,0.91
108-118,0,0,1.77,0,45.77,1.85,3.33,4.21,5.96,2.9,0,7.31,0,1.62,15.88,8.11,6.77,3.34,9.64,0,43.31,6.59,0.83,0,44.83,0.41,2.03,5.56,0,0,79.27,0,0,1.44,0,0,0,1.88,0,8.24,1.03,2.96
120,0,0,0,0,27.72,0,0,0,0,3.48,17.25,7.51,0,2.18,39.67,3.51,2.64,0,1.43,0,57.62,1.47,0,1.09,28.71,1.81,0,0,0,12.2,28.69,0,0,1.23,0,0,15.21,0,7.39,13.35,0,0
