stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,15.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0
 14-21,0,0.85,1.94,0,0,0,0,0,0,0,0,0,0,0,2.07,9.72,0,0,1.18,0,4.26,0.91,0
 24-34,0,1.57,0,2.67,0,0,0,0,0,0,0,0,5.36,0,0,32.37,0,0,0,1.03,0,5.96,9.75
 36-46,0,11.32,0,5.95,0,0,2.91,0,0,0,0,0,3.02,0,0.68,20.08,0,0,0,0,0,3.8,0
 48-58,0,1.87,0,6.39,0,0,1.84,1.69,0,0,0,0,2.17,0,3.74,26.75,0,0,0,3.1,0,2.36,0
 60-70,0,0,0,15.03,1.46,0,5.19,0,0,0,0,0,6.06,0,0.81,15.94,0,0,0,3.82,0,10.68,0
 72-82,0,0,0,0.66,0,0,2.73,0,0,0,0,0,2.65,0,0.85,7.61,0,0,0,0,0,1.15,0
 84-94,0,0,0,6.46,0,0,8.12,0,0,0,0,0,1.49,0,0,5.83,0,0,0,0,0,0,2.25
 96-106,0,0,0,0,0,0,0,0.66,0,0,0,0,0.75,0.73,0.58,6.85,0.75,1.35,0,0,0,0,1.67
108-118,0,0,0,3.52,0,1.17,0,0,1.49,0,2.76,0.78,1.99,0,1.36,13.24,0,0,0,0,0,4.09,0
120,0,0,0,8.7,0,0,10.35,0,0,8.09,0,0,0,0,5.47,2.78,1.25,0,0,1.93,0,0,0
