stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,xanthophores
  3-4,5172.75,86401.3,0,0,0,0,0,0,0,0,0,0,0,0,3446.68,0,0,0,0
  5-6,7482.75,89873.87,64.65,0,0,0,0,0,292.81,0,0,2773.21,190.76,589.58,1903.3,0,0,0,0
  7-9,365.88,354.02,513.19,0,567.01,0,0,0,368.95,0,0,12429.77,358.78,3484.86,64.64,83.86,12.83,0,0
 10-12,0,0,0,0,0,0,0,0,7.83,0,0,52.81,0,0,0,0,0,0,0
 14-21,0,0,0,2.11,0,0,0,0,0,0,0,1.28,0,0,1.86,1.4,0,1.26,0
 24-34,0,0,0,0,0,0,0,0,0,0.69,0.74,2.87,0,0,0,0,0,0.66,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.46,5.9,0,0,0,0,0,0,7.45
 60-70,0,0,0,0,0,0,0,0,0,0,0.64,7.26,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.79,7.84,0,0,0,0,0.66,4.02,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.62,0,4.02,0,0,0,0.66,9.68,0,0,0,0,0,0,0
108-118,0,0,0,0,2.84,1.31,0,0.54,0,0,0.48,15.63,0,0,0,0,0,0,0
120,0,0,0,0,7.73,0,1.08,0,0,0,0,14.79,0,0,0,0,0,0,0
