stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,59.28,606.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.05,0,0,0,0,0,0,0,0,0,0
  5-6,47.96,346.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.03,0,18.3,0,0,0,18.84,0,0,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,124.69,5.59,0,0,24.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,52.95,0,0,0,9.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.81,0,0,0,28.81,0,0,6.56,4.19,0,0,5.88,0,0,0,0,0
 14-21,0,0,0,0.88,7.88,4.72,0,9.28,0,0,0,1.04,0,0,0,38.13,1.6,0,0,0,0,0,0,0,2.35,21.81,0,0,0,0.97,0,4.68,0,5.24,0,0,6.83,0,0,11.17,0,0
 24-34,0,0,0,0,6.62,1.02,0,1.83,0,0,0,2.3,0,0,1.24,341.93,7.39,0,0,4.65,0,6.71,1.33,0,3.39,48.68,0,0,0,0,0,5.13,0,2.33,0,0.68,13.2,0,0,248.72,0,0
 36-46,0,0,0,1.45,2.43,7.25,0,1.83,0,0,0,4.92,5.11,0,0,499.48,0,0,0.66,12.02,0,8.99,1.7,0,4.04,72.86,0.59,2.29,1.14,0,0,0,0,0,0,0,9.96,0,0,443.22,0,0
 48-58,0,0,0,0,2.83,1.08,0,7.21,0,0,0,4.84,18.06,0,0.6,388.48,4.33,0,0,4.38,0,10.26,2.04,0,2.31,62.65,0,0.87,0,0,0,0,0,0,0,0,11.2,0,0,512.52,0,0.93
 60-70,0,0,1.29,0,1.5,0.99,0,17.51,0,0,0,11.35,77,0,0,415.91,0,0,0,15.51,2.78,15.58,1.46,0,4.27,43.94,0,0,0,0,0,0,0,0,1.88,0,7.69,0,0,556.41,1.13,7.56
 72-82,0,0,7.79,0.56,17.08,18.75,0,35.15,0,0.81,1.66,9.34,302.51,0,0.81,460.65,4.88,1.65,1.04,68.68,0,10.11,8.07,1.39,1.39,120.72,0,1.1,0,0,0,9.68,0,0,0.64,0,8.41,11.07,7.51,1114.53,0.91,10.21
 84-94,0.62,0,7.87,0.89,30.27,6.7,0,53.16,0,0,0.86,2.86,481.74,0,0,438.29,10.01,0,0,124.77,9.48,11.63,5.11,0,1.83,87.28,0,0,0,0,0,9.08,0,0,0,0,3.02,3.28,1.27,824.28,1.97,10.11
 96-106,0,0,10.94,0.66,53.67,46.03,0,32.98,2.55,5.38,0,22.81,730.57,0,0,347.33,42.19,0,2.46,178.15,0,35.96,10.63,0,6.6,143.13,0,2.15,0,0,0,10.89,0,0,0.6,0,4.45,1.68,0,1315.19,13.28,7.09
108-118,0.78,0,9.92,4.69,70.84,36.83,4.34,59.43,0,1.72,0,11.65,957.53,0,0.61,379.92,22.77,6.19,0,397.06,0,21.01,12.17,2.55,0.98,216.18,0,5.08,5.54,0,2.53,11.05,0,0,4.73,0,2.98,9.65,0,1168.02,3.48,1.58
120,0,0,11.32,0,35.3,12.57,0,36.21,0,5.32,0,16.71,777.1,0,0,577.69,3.3,0,0,283.81,0,53.62,1.47,2.21,0,180.12,5.56,1.45,9.92,0,26.2,11.32,0,0,1.66,0,0,4.06,0,1333.45,0,0
