stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,20.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.17,0,0,0,4.78,0,0,0,0,0,0,0,0,0,0
 10-12,5.11,0,13.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.64,27.03,0,0,49.86,0,0,10.73,0,0,0,0,0,0,0
 14-21,0,0,2.06,10.96,123.94,0,2.26,0,0,0,17.04,3.18,0,0,0,0,0,0,0,0,10.92,0,0,8.72,111.97,0,0,0,1.96,0,0,0.89,6.17,1.69,226.22,0,35.76,0,0
 24-34,0,3.52,0,20.04,5.82,0,9.81,0,0,0,14.63,0,0,2.81,0,0,0,0,0,1.84,6.41,0,0,4.46,275.2,3.14,0,0,0,0,0.67,1.63,2.08,2.52,258.11,0,247.71,0,0.85
 36-46,0,0,0,1.4,0,0,68.18,0,0,0,37.07,0,0,2.35,0.77,10.87,0,0,13.72,8.71,3.36,0,0,0,361.97,0.62,0,0,0,0,4.03,0.7,6.21,0,328.16,0,176.54,0,9.63
 48-58,0,0.39,0,19,0,0,275.16,0,0.4,0.44,69.2,0,6.59,2.68,1,0,0,0.45,2.25,3.32,5.04,0,0,0.91,366.76,0,0,0.43,0,1.12,3.57,5.05,6.35,0,216.26,0,145.51,0,12.83
 60-70,0,0,0,5.75,0,0,450.05,0,0,0,196.88,0,0,0.66,2.02,0,0,0,1.19,5.88,18.06,0,1.19,2.96,376.94,0,0,1.2,0,0,0,8.31,2.36,0,186.71,0,128.52,0,8.79
 72-82,0,1.06,0.75,3.57,11.07,0,236.73,3.03,0.66,0,181.1,0.76,0,3.56,11.9,1.73,0,0,0,5.13,43.84,0,3.96,2.03,363.87,0,0,0,0,0,0.7,0,0.64,0,74.73,1.51,283.35,0.65,10.3
 84-94,0,1.96,0,16.96,0.57,0,230.25,0,6.67,0,174.69,0,0,4.83,14.27,0,0,0,0,11,14.92,0.72,4.43,2.01,278.05,0,1.46,2.38,0,0,0.94,2.56,0.72,0,52.92,2.84,247.89,3.09,0.73
 96-106,0,6.4,0,1.66,32.82,0,153.96,0.57,0,1.02,161.77,5.21,0,3.98,24.79,0,0,0,1.3,3.72,34.78,0,2.62,0,279.82,0.57,0,0,0,0,0,0.6,5.28,0,24.77,2.82,236.01,7.71,14.56
108-118,0,2.32,1.6,8.83,5.22,3.43,165.28,0,2.56,0,153.51,6.53,0,0.78,23.62,0,5.82,0,1.31,11.4,22.07,0,0,0,312.08,0,0,2.77,0,1.31,10.79,0.45,2.22,0,31.77,1.8,212.42,3.56,4.89
120,0,0,1.28,14.62,9.48,0,296.25,0,3.21,9.59,201.75,16.25,0,1.85,47.3,0,6.33,0,0,1.55,34.33,2.21,2.47,0,490.66,0,2.28,0,0,0,3.34,0,2.33,0,12.66,0,281.43,15.51,1.64
