stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.57,0,0,0,4.46,0,0,0,0,3.49,0,0,0,0,0,0,0
 14-21,0,0,33.75,2.82,0,0,0,0,1.08,0.91,0,13.83,1.04,0,0,0,0,3.53,0,0,2.71,6.55,0,0,0,0,0,0,0,0.97,0,0,1.75,0,0,0,0,0
 24-34,0,0,16.9,0.66,0,0,3.9,0,0,0.68,0,17.64,0,0,0,4.01,0,13.7,0,0,1.11,18.62,0,0,0,0,0,0,0,0,0,0,14.17,0,0,4.8,0,0
 36-46,0,0,9.82,0.89,0,0,1.63,1.09,0,0,0,9.56,0,0,0,0,0,10.81,0,0,0,18.16,0,0,0,0,0,8.19,0,0,0,0,12.65,0,0,3.9,0,0
 48-58,0,0,2.56,0,0,1.3,0,0.43,0,0,0,33.77,0,0,0,0,0.5,4.74,0,0,0,2.58,0,0,0,0,0,0,0,0,0,0.39,0.52,0,0,6.55,0,0
 60-70,0,0,1.56,0,0,0.71,74.7,0,0,0,0.71,64.96,0,0,0,5.5,0.86,10.91,0,1.69,0,1.85,0,0,0,0,0,5.65,0,0,0,0,0,0,0.99,9.04,5.48,0
 72-82,0,0,2.49,1.91,0,12.81,2.19,0,0.77,3.23,1.23,107.13,0,0,0,0,0,24.33,0,4.55,1.36,11.24,0.52,0,2.16,0,0,0.56,0.85,0,0,0,0.63,0,2.18,16.17,10.29,4.14
 84-94,0,0.8,41.43,6.76,0,3.41,0,0,3.93,2.08,0,157.53,0,0,0,0,0,37.2,0,14.18,0,2.62,0,1.37,0,0,0,0,0,0,0,0,5.1,0,2.31,14.9,5,8.45
 96-106,0,0,42.73,32.45,1.07,9.25,0,0,9.06,24.33,3.05,199.1,1.91,0,0,8.92,0,107.2,0,4.53,21.77,45.03,0.81,0.73,0,0,5.77,19.67,0,0,0,0,11.34,1.57,4.26,23.5,32.26,3.88
108-118,0,0,24.31,4.8,3.11,5.67,7.04,0,6.25,58.38,0,197.24,4.91,1.7,0,12.43,0,45.05,0,3.62,2.65,25.05,0,0,1.09,0,2.72,14.53,0,0,0,0,10.89,0,1.17,31.4,39.38,17.89
120,0,0,30.88,5.41,0,2,12.38,4.21,0,17.73,5.23,460.06,20.97,2.22,2.12,12.82,0,97.05,2.5,2.61,10.86,68.54,0,0,14.07,0,6.29,94.67,0,0,0,0,19.72,0,11,49.59,56.32,0
