stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,89.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.66,0,13.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.87,6.53,0,0,19.85,0,0,7.27,0,0,0,0,0,0
 14-21,0,0,4.56,0.94,6.08,2.86,3.62,0,0,0.84,0,1.22,0,0.81,0,0,0,0,1.66,0,0,66.02,0,0,0,0,0,0,3.54,29.22,0,0,0,0,0
 24-34,0,0,0.66,0,3.48,1.21,12.9,0,1.23,1.85,0,0,3.48,0.74,0,0,1.43,0,6.24,0,2.3,395.08,0,12.58,1.39,0,0,1.18,0,66.12,0,0,1.38,0,0.6
 36-46,0,0,0,0,0,0,66.63,0,0,8.42,0,0,1.24,1.48,0,0,0,2.69,10,0,0.61,602.27,0,9.73,0.57,0,0,0,0,123.72,0,0,0,0,2.04
 48-58,0,0,0,0,7.8,0.44,115.3,0,0.64,17.8,0,0.45,0.43,0.37,1.23,0,0,0,10.27,1.18,0.37,617.88,0,1.87,0.7,0,0,1.73,0,72.5,0,0,1.55,0,0.89
 60-70,0,0,0,0,3.4,0,207.41,0,0,17.24,0,2.9,0.67,0,9.52,0,0,0,20.52,0.66,2.19,748.63,0,12.09,0,0,0,0.76,0.58,76.25,0,0.84,1.04,0,0
 72-82,0,0,2.53,0,6.71,0.55,239.62,2.88,5.31,15.05,0,0,6.7,0,3.52,0.79,0,0,20.34,0,0,459.43,0,3.64,1.16,0,0,5.85,0,34.34,0,0,3.47,0.91,0
 84-94,0,0,2.26,0,6.57,0,123.5,0.59,0,9.5,0.97,0,2.96,1.95,4.91,0.67,0,1.84,17.06,0,0,349.83,0,3.62,0.94,0,0,4.7,0,29.41,3.89,0,0.6,0,0
 96-106,0,0,1.1,0,10.06,2.34,93.21,0,0,15.21,1.65,0,8.27,2.44,2.28,2.35,0,0,13.32,0,0,234.32,0,4.94,0.62,0,4.67,3.76,0,12.03,0.79,0,0.66,0,0
108-118,0,0,0.71,0,13.08,1.67,91.28,0,0.77,18.76,6.23,1.61,3.59,0.87,11.88,2.99,0.43,0,24.21,0,0.63,243.77,0,6.32,3.03,0,0,4.74,0,6.01,2.09,2.76,3.99,1.1,0
120,0,0,3.9,0,22.81,0,124.18,4.46,1.69,26.86,2.27,0,13.2,1.45,12.63,3.84,1.05,0,23.02,5.9,2.58,449.4,0,13.06,3.15,0,0,10.25,0,14.43,6.92,0,5.65,0,0
