stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,hatching_gland,heart,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,70.84,536.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.9,700.82,12.33,0,0,0,0,53.02,0,0,0,36.47,0,9.15,20.22,0,0,0,0
  7-9,4.02,0,7.51,0,0,0,0,0,0,0,0,47.1,0,3.81,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,41.95,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,1.42,0,0,0,0,0,0,9.66,0,0,0,0.93,8.51,55.21,0
 24-34,0,0,0,0.98,0,0,1,0,0,0.75,13.64,23.58,0.64,0,0,0.76,1.42,9.67,8.08
 36-46,0,0,0,0,0,0,0,0,0,0,0,10.98,0,0,0,0,0,15.05,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,6.78,0
 60-70,0,0,0,0,0,0,0,0,0.6,0.63,0.77,0,0,0,0,0,0,3.2,0
 72-82,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,3.84,0
 84-94,0,0,0,0,0.58,0,0.56,0,0,1.98,0,2.87,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.27,7.52,0,0.88,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.49,0,0,0,0,2.94,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,14.06,0,0,0,0,0,0,0,0,0
