stage,eye,immune,pronephros
 36-46,0,0.58,0
 48-58,0,2.02,0
 60-70,0,7.13,0
 72-82,0,1.66,0
 84-94,1.61,2.79,1.19
 96-106,0,2.8,0
108-118,0,9.56,0
120,0,14.86,0
