stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,25.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,20.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.3,12.85,237,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.98,0,111.68,0,0,7.27,0,0,0,0,0,16.14,0,0,0,0,0,0,3.87,569.79,40.62,1020.33,0,0,4.36,264.55,0,4.75,7.02,0,0,0,0
 14-21,0.89,0,0,15.92,17.15,16.78,1.69,0,0,0,53.79,3.12,0,0,0,0,2.32,73.36,0,106.48,198.16,4.82,5.56,0,0,136.36,0.85,8.7,138.84,749.3,0,2.34,0,0
 24-34,0,0,0,5.07,1.42,2.29,2.24,0,0.85,0,67.61,0,0,0,0,0,1.9,74.77,1.52,53.36,171.42,0,0,0,0,0.95,0,0,6.97,655.07,0,16.94,0,0.86
 36-46,0,0,0,0.56,0,0,1.56,0,0,1.45,50.06,0,0,0,0,0.83,0,65.78,2.58,21.45,160.06,0,0,0,0,0,0,0,0,717.3,0,11.37,0,0
 48-58,0,0,0,0,0,0,18.97,0,0,0,27.89,0,0,0,0,0,0,51.15,9.55,10.39,352.75,0,0,0,0,0,0,0,0,596.73,0,0,0,5.71
 60-70,0,0,0,0,0,0,10.33,0,0,0,26.79,0,0,0,0,0,0,31.18,4.97,11.08,309.61,0,0,0,0,0,0,0,0,365.43,0.86,0,0,0
 72-82,0,0,0,0,7.44,0.78,9.37,0,0.81,0.87,66.83,0.51,0,0,0,0,0,22.41,5.11,8.32,175.11,0,0,0,0,0,0,0,0,153.11,1.03,2.35,1.74,0
 84-94,0,0,0,0,0,0,14.11,8.29,0,3.75,48.76,0,0,1.07,0,0,0,21.77,2.73,7.12,154.34,0.67,0,0,0,0,0,0,0,100.96,0,0,0,0
 96-106,0,0,1.08,0,0,5.26,4.16,0,0.78,3.6,31.85,0,0,0,0.76,0,0,29.15,19.64,12.6,145.55,0,0,0.79,0,0,0,0,0,39.13,0.88,0,0.87,0
108-118,0,0,0,0,0,0,2.61,0,0,0,40.31,0.53,0,0,0,0,0,15.8,5.89,3.14,109.29,0,0,4.04,1.14,0,0,0,0,51.11,4.16,2.77,0.48,0
120,0,0,0,0,0,0,3.29,0,0,0,23.33,0,0,0,0,0,0,27.24,18.71,4.89,32.22,0,0,0,0,0,0,0,0,45.81,0,3.67,0,0
