stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,148.13,1310.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.09,0,0,0,0,0,0,0,0
  5-6,34.41,1054.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.61,0,0,0,12.41,0,27.37,0,0,0,0,0,0,0,0
  7-9,7.41,7.5,13.45,0,0,118.53,0,0,0,0,0,16.32,0,0,0,0,0,0,0,0,0,0,871.9,12.63,0,0,256.23,0,0,42.48,0,0,0,0,0,0,0
 10-12,0,12.05,19.62,0,0,175.51,0,0,0,0,0,13.93,0,0,0,0,0,0,0,0,0,0,845.98,7.27,0,0,228.63,0,0,21.4,3.57,24.59,0,0,0,0,0
 14-21,0,0,3.83,13.41,2.92,6.26,0,0,0,0,1.08,0,0,0,0,0,0,0.86,6.56,0,0,8.95,87.39,6.28,0,3.07,1.7,0,1.01,0.9,19.36,0,31.13,17.35,0,1.1,0
 24-34,0,0,0,3.56,0.99,11.9,0,0,0,0,0,0,0,1.41,0,0,0,0,11.18,0,0,2.53,111.06,0,0,0.77,0,0,4.25,0,0,0,1.9,14.09,0,1.05,1.19
 36-46,0,0,0,0,0,12.22,0,0,0,2.28,0.57,0,0,0,0,0,0,0,6.36,0.59,0,0.64,74.68,0,2.28,0,0,0,0.55,0,0,1.31,0,19.76,0,0,0
 48-58,0,0,0,0,0,12.33,0.45,0,0,8.35,0,0,0,0,0,0,0,0.5,9.26,0,0,0.59,44.22,0,0,0,0,0,4.79,0,0,0,0,13.84,0,0,0
 60-70,0,0,0,0,0,23.42,0,0,0,8.88,0.69,0,0,0,0,0,1.82,0,7.84,0,0,0,47.5,0,0,0,0,0,2.92,0,0,0,0,3.84,0,0,0
 72-82,0,0,0,0.76,0,26.6,0,0,0,4.1,2.22,0,0,0.54,0,0.64,0,0,13.27,0,0,1.95,54.62,0,0,0,0,0,0,0,0,0,0,1.01,0,0.86,0
 84-94,0,0,0,2.11,1.52,22.31,1.33,0,0,3.12,1.87,0,0,0.69,1.2,0,2.62,0,6.57,0,0.58,1.52,54.26,0,0,0,0,0,2.14,0,0,0,0,3.13,0.88,1.12,0
 96-106,0,0,0,1.98,0,3.15,0,0,0,8.61,0,0,1.03,0,0,0,0,0,12.69,1.61,0,2.38,26.43,1.07,0,2,0,1.17,4.95,0,0,0.73,0,2.9,0,0.7,0
108-118,0,0,0,2.14,0,19.71,0,0,1.04,11.34,2.56,0,0,0,2.18,0,13.75,0,15.42,0,0,3.83,59.21,0,0.6,0,0,0,2.23,0,0,0,0,3.76,0,0.9,0
120,0,0,0,8.34,0,10.95,0,1.41,0,13.51,1.8,0,1.54,0,0,0,0,0,5.02,0,0,12.22,64.44,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
