stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6.34,3.38,0,0,0,0.92,0,0,0,0
 24-34,0.8,0,0,0,0,0,0.64,0,0,0,0,0,70.36,0,0,66.63,35.85,0,0,0,0,0,0,0,0
 36-46,0,6.6,0,1.26,0,0,9.44,0,0.9,0,0,0,142.57,0,0,38.13,9.47,0,0,3.89,0,0,0,0,0
 48-58,0,0,0,2.36,1.47,0,9.34,0.5,0.37,0,0,0,176.53,0.74,0.56,42.2,14.25,0,0,0,0,0.8,0.51,2.43,0
 60-70,0,1.17,0,9.67,0,0,9.47,3.84,1.19,0,0,0,324,0,2.67,15.63,11.36,1.1,3.39,0,0,0,0,1.15,0
 72-82,0,0,0,4,0,0,13.02,1.28,0,0,0,0,441.6,0,2.79,26.83,29.22,1.12,0,0,0,0,9.34,0,3.2
 84-94,0,3.88,0,20.73,0,0,3.84,0,1.1,0,0,0,355.11,0,7.56,34.83,18.89,4.48,0,0,0,0,0,0,0
 96-106,0,0,10.35,25.37,0,0,13.72,10.94,0,0.65,0.58,1.8,353.02,0,3.9,22.72,27.86,10.74,0,0,0,0,9.01,4.35,6.94
108-118,0,3.75,0,4.11,0,0.42,9.75,6.28,0,0,0,0,508.23,0,9.38,18.18,60.93,16.84,0,0,0,0,2.65,0,1.93
120,0,0,0,7.2,0,0,2.89,2.24,0,0,0,0,294.84,0,5.9,21.66,46.38,4.22,0,0,0,0,13.87,7.32,12.76
