stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  5-6,11.34,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,13.42,0,0,0,6.62,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0
 14-21,0,0,0.81,4.74,0.82,0,0,0,0,0,0,4.44,0,0,1.1,20.56,0,0,0,0,1.44,2.21,0.81,0,2.75,8.12
 24-34,0,0,0,1.28,0,3.64,0,2.62,0,0.62,0,1.74,0,0.81,0.79,95.87,1.02,0,0,0,2.38,0,0.73,0.7,0.76,20.12
 36-46,0,0,0,0.72,0,16.95,0.65,5.98,0,0,0,3.89,0,0,1.15,86.13,0,0,0,0,0,0,0,0,0,8.21
 48-58,0,0,0,6.62,0,10.83,0,0,0,0,0,1.43,0,0,0,61.43,0,0,0,0,0,0,0,0,0,20.51
 60-70,0,0,0,0,0,49.76,0,10.52,0,0,0.66,11.11,0,0,0.74,124.32,0,0.73,0,0,0,0,0,0,0,12.87
 72-82,0,0,0,0.54,2.61,24.2,0,21.59,0,0,0.79,8.54,0,0,0,41.98,0,3.15,0.79,0,0,0,0,2.68,0,7.58
 84-94,0,0,0,0.79,0,25.92,0,3.9,0,0,0,6.33,0,0,0,18.48,0,0,0,0,1.65,0,0,0,0,3.05
 96-106,0,0,0,0,10.31,5.51,0,3.04,5.54,0.97,0,3.97,0,0,0,23.99,0,0.66,0.96,0,0,0,0,0,0,0
108-118,0,0,0,0,1.36,1.17,0,2.82,0,0.42,0,1.9,1.82,0,0,27.16,0,0,0,0,1.54,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.53,0,0,0,0,0,0,0,0,0,0
