stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,49.22,905.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.68,0,0,0,0,0,0,0,0
  5-6,19.53,308.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.06,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.97,11,0,0,3.74,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,10.11,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.08,0,0,0,0,0.92,0,0,0,0,0,0,0,1,30.1,0,0,0,0,0,1.47,0,7.57,0,0,0,0,0
 24-34,0,0,3.15,0.65,8.28,0,0,0,1.81,2.99,0.62,0,0,0,0.77,0,0,0.6,105.6,0,1.26,0,0,0.72,0,0,32.66,0,0,10.28,0,2.87
 36-46,0,0,0.98,0.66,12.33,0,0,0,0,0,0,4.26,0,0,1.59,9.12,0,0.66,229,0.84,1.87,0,0,0,0,0,46.38,0,0,6.08,0,1.44
 48-58,0,0,0,0,38,0,0.71,0,8.3,0,0,2.64,0,0,2.51,5.22,7.16,1.85,459.92,0,3.91,0,0,0,0,0,58.59,0,0,0,0,1.16
 60-70,0,0,1.14,0,120.52,0,3.01,0,17.53,0,0,0,1.08,0,3.17,4.93,0,0,616.55,0,0,0,0,0.59,0,0,40.31,0,0,8.86,0,3.58
 72-82,0,0,0,5.65,196.66,0,0,0,30.25,0.51,4.79,5.61,0,0,9.51,18.42,0,0,631.69,0,10.76,3.12,0,0.56,0,0,26.74,0,0,10.89,0.96,5.01
 84-94,0,0,2.2,2.02,148.34,0,0,0.87,10.58,0.79,1.38,5.06,0,0,14.68,17.1,0,0,464.6,0,0,3.64,0,0.88,0,0,14.4,0,0.71,9.27,0,2.12
 96-106,0,0,1.17,5.36,220.42,0,0,0,23.83,0.82,0,2.03,0,0,1.6,21.09,0,1.43,435.68,0,9.87,0,0,0,0,0,23.03,1.13,0,8.39,0,0
108-118,0,0,0,9.65,223.81,0,0,0.59,27.75,0,1.53,2.64,0,2.69,1.02,10.94,0,2.67,737.05,0,4.41,1.82,0,2.99,0,0.51,13.92,0.68,1.46,1.29,0,0
120,0,0,4.86,0,325.73,18.76,0,10.02,65.71,2,0,0,0,0,0,10.21,0,0,1173.98,0,4.66,1.86,0,0,0,0,6.46,0,0,5.76,0,0
