stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,30.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.99,0,0,3.64,0,0,0,0,0,0,0,0,0,108.99,0,0,0,0,0,0,0,0,0,0,31.54,21.49,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,0,0,86.45,0,8.02,0,0,0,0,0,0,0,227.85,0,0,0,0,0,0,0,0,0,0,242.68,232.35,0,0,47.1,0,0,0,0,4.64,0,0,0,0,0,0,0,0
 14-21,2.31,0,0,8.77,677.03,100.66,0,10.78,0,0,0,29.74,27.04,2.66,17.44,0,1.14,0,0,16.22,219.2,0,0,217.74,392.28,1305.28,0,7.33,108.18,0,3.29,0,86.78,10.53,2.14,128.9,968.62,0,0,76.37,0,0
 24-34,0,0,0.84,3.26,507.3,10.47,0,42.2,0,2.52,26.04,208.12,0,0,89.93,0.94,1.21,0,3.63,0.74,793.32,5.14,0,445.2,887.42,438.77,2.39,11.24,0,2.91,45.55,0,1.81,11.61,12.2,88.28,1969.68,0,0,405.34,0,0
 36-46,8.46,0,0,0,246.52,1.16,0,82.35,0,11.15,25.39,360.83,1.39,0,54.01,1.48,0,0,0.65,10.96,1391.4,1.68,10.89,257.27,999.15,272.93,4.01,18.03,0,11.45,119.78,0,0,3.42,2.92,0,3450.54,0,2.09,168.76,0,3.6
 48-58,0,1.29,0,0,92.08,0.9,0,173.02,0,10.87,42.49,211.03,0.47,0,34.16,0,0,7.95,0.39,1.08,1609.46,1.15,24.19,268.95,1197.96,143.21,1.16,46.77,0,2.26,15.66,0,0,1.44,1.03,0,3732.97,0,9.92,117.85,0,18.43
 60-70,1.45,0,2.2,0,47.2,0,0,223.77,1.87,9.63,41.56,167.24,0.85,0,13.7,1.22,0,9.62,3.13,9.46,2087.54,0.85,18.75,244.79,1171.76,93.53,0,36.78,0,6.35,9.95,0,0,0,1.58,0,3025.88,1.22,26.01,59.06,4.34,12.5
 72-82,0,0,3.76,0,37.6,2.8,2.97,282.24,0,2.88,41.62,167.78,17.42,0,41.62,0.8,0.53,3.62,2.99,1.36,2371.95,0,133.12,265.74,941.38,25.29,3.11,36.5,0,9.21,1.72,0,0,0,0.54,0,2179.38,0,44.42,68.57,25.05,2.27
 84-94,7.39,0,0.84,1.06,53.92,16.36,0,266.33,2.21,0,27.82,119.32,25.18,0,33.28,4.37,2.49,5.89,3.63,1.46,2220.41,0,156.38,195.78,881.24,43.22,0,72.27,0,5.16,5.99,0,0,9.95,0.68,0,1315.88,6.32,64.6,81.75,53.03,0
 96-106,0,0,2.9,0.7,69.15,15.25,2.15,174.86,2.43,2.52,28.12,133.18,37.25,0,44.27,7.3,2.32,5.06,2.8,5.31,2094.7,1.09,172.08,149.34,799.76,27.24,6.32,43.11,0,26.92,4.66,0,0,1.33,0,0,964.84,1.15,60.55,49.61,46.6,8.85
108-118,0,0,0,1.86,46.76,2.59,3.1,168.31,0,1.85,37.76,165.59,36.85,0,22.88,0.68,4.64,5.15,5.64,8.47,2459.54,3.41,137.29,126.15,872.83,42.28,3.98,45.15,0,13.14,7.09,0,0,0.58,0.66,0,666.37,2.68,57.4,56.64,32.81,0
120,1.12,0,0,0,60.23,5.49,1.03,286.09,1.99,45.72,52.96,187.85,28.41,0,39.16,3.17,0,0,0,20.33,2282.55,0,162.78,116.01,890.49,68.52,3,26.16,0,28.4,4.59,1.53,0,0,0,0,1053.74,1.12,80.82,28.08,55.27,0
