stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.81,220.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906.8,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,355.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2875.31,0,0,0,0,0,0,0,0,0,0
  7-9,5.75,15.97,0,4.21,0,0,0,37.4,0,0,0,0,0,55.22,0,0,0,0,0,0,0,0,0,0,0,338.32,15.93,0,0,42.97,906.88,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.21,0,31.62,0,0,0,20.73,0,0,0,0,0,21.71,0,0,0,0,0,3.73,0,0,0,0,0,627.27,59.11,0,0,77.86,325.67,0,4.97,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.03,211.43,0,0,0.81,0,0.87,0,0,2.46,0,0,0,120.24,0,0,0,0,6.23,11.73,0,0,34.91,207.71,4.11,5.24,0,1387.48,0,0.88,0,0,3.83,0,0,0,0,0
 24-34,0,0,1.26,0.82,827.75,0,0,14.44,0,56.38,1.41,3.05,1.69,1.15,0,1.33,206.68,0,12.31,1.33,0,13.58,79.99,1.21,6.54,210.22,215.23,16.42,12.66,0,4209.36,0,10.48,1.12,2.84,30.97,0,0,7.37,0,0
 36-46,0,0,0,0,923.92,0,0,15.77,0,172.65,0,8.96,4.5,9.56,2.56,0,174.35,0,4.85,4.12,0,24.25,85.37,0,3.76,276.41,210.02,22.08,8.14,0,4826.66,0.81,28.57,0,0,24.24,0,0,4.36,0,5.24
 48-58,0.77,0,0,1.16,657.58,0,0,46.5,0,197.55,5.62,12.41,1.06,1.56,0,0.45,88.98,0,10.03,1.16,8.27,16.49,68.2,0,1.78,198.14,158.88,16.86,21.41,0,2881.33,0,4.25,0,0,25.39,0,0,3.48,0,6.68
 60-70,0,0,0.65,0,737.39,2.2,0,44.86,0.83,145.63,0.85,27.27,15.44,4.55,0,4.06,46.72,0,9.29,6.19,0,5.65,65.4,3.98,0.75,129.91,85.03,12.87,16.15,0,2361.28,0,7.94,0,0,7.19,9.13,0,0,0.57,3.93
 72-82,0,0,5.79,0,584.51,6.61,0,66.3,0,135.88,1.89,12.48,50.61,1.6,0,1.6,124.45,0,11.06,2.77,1.89,26.64,103.89,3.85,1.72,200.95,60.01,16.37,26.79,0,2285.99,0,3.73,0,0,10.42,26.78,1.28,1.31,0.79,0.67
 84-94,0,0,10.64,0,1061.61,10.47,0,44.35,0,272.26,0.59,14.91,103.74,2.61,0,2.36,202.2,1.2,14.94,6.24,3.18,41.76,116,2.81,4.48,109.04,115.99,35.32,37.87,0,5901.5,0,28.28,0,0,3.82,95.86,0,4.6,1.28,0
 96-106,0,0,19.08,1.03,1288.41,13.96,3.3,145.8,0,328.57,11.34,26.04,199.74,0,1.68,7.08,253.32,2.73,32.47,21.06,0,45.21,181.92,0,3.74,254.38,77.97,45.32,22.32,0,5455.2,0,10.59,0.69,0,8.02,150.18,4.96,9.15,3.3,0
108-118,0.66,0,7.13,0.65,1864.17,5.67,6.59,86.8,0.76,558.18,0,12.73,261.37,0,0,10.75,313.43,2.65,22.46,11.52,0,48.64,211.87,0,2.08,192.73,141.18,41.73,37.8,0,5876.25,0,16.46,0,0,11.88,182.13,3.33,1.83,3.39,2.07
120,0,0,3.52,1.28,1233.24,1.01,1.71,14.37,0,242.97,1.92,11.95,207.17,0,10.58,1.19,172.11,3.57,19.8,26.1,1.33,53.51,141.35,2.75,7.39,104.69,237.53,8.74,38.92,0,2530.35,0,15.42,0,0,2.5,86,0,7.54,1.99,0
