stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.1,86.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0
  5-6,25.88,157.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,0,6.92,0,0,0,0,0,0,0,0,0,0
  7-9,3.28,0,0,8.9,0,0,13.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.63,6.13,0,0,5.47,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,22.6,0,5.34,22.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.52,5.5,0,0,21.01,0,0,0,4.94,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,3.15,40.71,5.86,2.89,0.88,0,9.85,0.92,1.44,0,26.57,0,0,0,0.94,16.37,0,0,7.21,106.78,8.05,0,8.79,3.52,0,9.4,4.47,15.03,0,2.52,108.63,0,0,0.98,0,0
 24-34,0,0,0.75,0.68,30.75,2.55,6.55,0.71,0,13.97,0,0,1.88,127.5,0,0.63,3.7,0,30.79,0.69,0.81,15.52,143.77,5.25,5.75,8.76,0,0,3.63,0.95,32.3,0,0.67,67.99,0,0,1.74,0,0
 36-46,0,0,0,0,27.1,0,7.94,0.56,0.61,17.44,0,0,1.65,254.35,0.77,0,0.8,0,42.09,0.72,1.3,10.9,127.24,13.55,0.73,1.31,0,0,31.24,2.9,23.75,0,0.83,114.61,0,0,1.27,0,0
 48-58,0,0,0,0,10.16,0,28.03,5.5,3.48,50.19,0,2.92,0.48,174.49,0.49,0,2.73,0,63.3,1.18,1.66,11.06,72.08,2.48,3.88,1.63,0,0,6.58,0,5.37,0,0,89.45,0,0,3.99,0.65,4.29
 60-70,0,0,0,0,10.28,0,22.93,3.21,2.24,78.59,1.38,0,0,198.55,0,0,0,0,100.37,0,1.43,5.38,50.16,0,0.73,3.71,0,10.91,11.94,0,5.7,0,0,51.06,0,0,1.4,0,0
 72-82,0,0,0,0,11.14,0,14.32,0,3.41,75.74,5.87,0,0.74,186.93,0.54,0,2.61,0.49,150.85,1.61,6.54,7.37,55.38,0,10.36,16.81,0,0,2.71,0,0.76,0,0,23.59,0,1.83,6.55,5.6,1.59
 84-94,0,0,0,0,13.56,0,19.77,3.3,1.79,52.81,10.66,0,0.73,175.17,1.71,0,4.74,1.05,118.48,0,3.7,7.47,32.09,1.77,6.88,7.67,0,1.59,6.14,0,0,0,0,6.51,0,6.06,0,2.16,0
 96-106,0,0,1.19,0,20.81,0.96,22.81,15.64,2.81,58.44,1.84,0,0,127.78,0,0,2.22,0.63,111.95,0,2.39,2.04,31.39,0,12.63,8.72,0,0,0.6,0,5.57,0,0,9.45,0,7.28,4.56,5,0
108-118,0,0,1.12,0,23.39,0,19.05,2.39,1.17,48.05,6.27,0,0,140.58,3.9,1.46,2.22,0,99.78,0,2.46,4.27,24.83,0,20.65,10.19,0,8.06,0.45,0,3.31,0,0,1.87,1.25,2.46,0,0.93,0
120,0,0,0,0,11.97,0,2.75,11.32,1.6,13.62,8.16,0,0,235.38,2.5,0,0,0,76.4,0,0,4.02,45.97,1.12,7.16,2.56,0,0,0,0,0,1.69,0,0,1.19,8.16,2.15,7.28,0
