stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,113.26,1360.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.99,0,0,0,0
  5-6,47.83,624.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,13.91,0,0,9.43,13.38,0,0,0,0
  7-9,0,9.54,0,0,0,12.79,0,0,0,0,3.49,0,0,0,0,0,0,0,0,55.12,0,0,0,16.03,0,0,0,0,0
 10-12,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,29.51,0,0,0,4.1,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0.89,29.85,0.63,2.32,0,0,0,0,6.35,0,0
 36-46,0,0,0,0,4.05,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,192.3,0,2.63,0,0,0,0,6.55,0,0
 48-58,0,0,0.42,0,0,23.85,0,0,0.61,0,0,0,4.72,0,0,2.41,0,0,5.59,368.34,0,1.1,0,0,2.65,0,9.74,0,0
 60-70,0,0,2.13,3.24,0,92.08,0,0,5.84,0,0,0,0,0.82,0,2.6,0,0,0,680.93,0,0.88,0,0,2.6,0,13.18,0.74,7.41
 72-82,0,0,1.56,3.02,0,189.36,0,0,13.8,0,0,0.52,0,0,0,2.73,0.67,0,0.73,929.78,0,11.28,2.07,0,0,0,12.45,0,0
 84-94,0,0,1.11,2.71,0,170.91,0,0.67,9.7,0,0,0.69,0,0,5.05,0.85,0,1.22,0,572.02,0,0.91,0,0,0.66,0,25.62,9.9,5.13
 96-106,0,0,1.56,0.79,2.94,134.85,1.32,4.16,9.15,1.62,0,0.91,0,0,4.97,1.72,0,0,0,603.29,0,7.94,0,0,1.21,0.56,3.79,0.88,0.62
108-118,0,0,0,7.71,0.46,130.25,0,0,8.62,0,0,0.49,0,5.15,0,4.74,0,0,0,685.64,0,8.74,0,0,2.71,0,2.33,0,0
120,0,0,0,6.06,0,198.13,0,12.44,5.06,0,0,0,0,0,0,0,0,0,0,1114.91,0,0,24.95,0,7.09,0,13.59,6.45,0
