stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pronephros
  3-4,16.24,227.06,0,0,0,0,0,0,34.5,0
  5-6,20.05,349.45,0,0,0,10.7,0,8.57,17.45,0
  7-9,4.73,13.57,0,3.93,5.39,95.55,0,50.57,0,0
 10-12,0,19.56,8.14,8.34,0,285.32,7.9,72.92,0,5.43
