stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mucous,neural,notochord,olfactory,periderm,pronephros,spinal_cord,vasculature
  3-4,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,27.08,0,0,0,0,0,0
 14-21,0,12.96,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.07,0,0,0,0,5.86,0
 36-46,0,0,0,1.66,0,0,0,0,0,0,0,0.71,0,0,28.54,0.56,0,0,0,18.06,0
 48-58,0,0,0,17.15,0.63,0,0,0,0,0,0,0,0.39,0,40.11,0,0,0,0,28.64,0
 60-70,0,0,0,79,0,5.6,0,0,0,0,0,0,6.72,0,137.73,10.2,0,0,0,52.06,0
 72-82,0,4.58,5.65,92.14,0,9.77,0,0,2.95,0,0,0,8.36,0,141.4,0,0,0,0,32.24,0
 84-94,0,0.56,0,61.47,0,2.43,0.68,0,0,0.74,0,0,4.35,0,89.74,0,0,6.15,0.7,14.46,0
 96-106,0,1.63,0,42.98,1,13.31,0,0,0,0,0,0,7.2,1.42,111.96,0.62,0.7,0.77,0,11.14,0
108-118,0,1.29,0.66,56.18,4.78,1.28,0,0,0,0,0,0,0,0,102.53,0,1.14,0,0,11.92,4.57
120,0,0,0,76.67,0,23.65,0,0,0,0,4.83,0,3.44,0,128.46,0,0,0,0,9.96,0
