stage,axial,blastomeres,endoderm,epidermis,eye,glial,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,11.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,54.77,0,0,0,0,0,0,0,0,9.46,0,0,0,0,0,0,0,0,0
  7-9,6.13,0,3.2,0,4.33,0,0,0,0,0,49.28,3.69,0,0,3.97,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,40.07,5.2,0,0,22.31,0,0,0,0,0
 14-21,0,0,0,0.85,1.31,3.31,0,0,0,0,11.68,0,0,0.84,0,0,3.77,11.98,0,0
 24-34,0,0,0,1.49,3.15,0.94,0,5.6,0,1.68,15.83,0,0,0,0,0,0,15,0,0
 36-46,0,0,0,0.55,3.07,6.5,0,4.42,0.55,0,11.28,0,1.45,0.69,0,0,0,14.89,0,0
 48-58,0,0,0,0,5.11,4.85,0,1.87,0,0.4,8.15,0,2.06,0,0,0,0,4.39,0,0
 60-70,0,0,0,0,12.41,4.49,0,2.15,0,0,6.28,0,1.17,0.63,0,0.58,0,2.5,0,0
 72-82,0,0,0,0.5,1.74,5.47,0.55,6.22,1.14,0.54,3.12,0,0,1.25,0,0,0,0,0.87,0
 84-94,0,0,0,0,4.19,0,0,0.61,1.91,0,4.42,0,0,0,0,0,0,0,0,2.73
 96-106,0,0,0,0,0,0.99,0,0,0,0,2.18,0,0,1.14,0,0,0,1.9,0,0
108-118,0,0,0,0,0,3.29,0.49,0.69,0,0,1.17,0,1.11,0,0,0,0,2,0,0
120,0,0,0,0,0,0,0,0,5.52,0,2.85,0,0,3.12,0,0,0,0,0,0
