stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,253.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0
  5-6,21.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,0,12.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.38,0,0,26.46,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,14.69,9.72,2.23,0,0,0.91,139.15,0,0,0,0,0,64.68,2.3,0,30.71,264.81,3.75,12.14,0,2.75,1.39,0,0,1.71,297.62,0,0,0,0,0
 24-34,0,0,9.32,0,2.99,0,5.53,1.6,75.66,0,8.07,0,0,0,66.62,0,0,11.07,1808.72,3.92,2.56,0,33.54,0,0.7,0,1.9,281.08,0,0,0,0,0
 36-46,0,0,0.58,0,17.76,4.57,7.84,4.1,25.45,0,1.15,0,0,0,63.48,1.5,3.62,12.81,3470.4,0,3.12,0,28.98,0,0.74,0,0,353.6,0,0,0.82,0,1.41
 48-58,0,0,0,0,82.58,3.45,5.95,4.75,15.31,0,0,0,1.61,2.55,43.49,0,3.94,12.29,3500.6,0,0,0,18.85,0,0,0.4,0,545.62,0,0,0,3.2,0
 60-70,0,0,18.3,0,27.03,1.06,9.22,3.92,13.43,0,0,0,1.98,0,28.35,0.62,4.49,0.59,1491.26,0,0,0,3.12,0,0.73,0,0,297.48,0,0,0,4.85,0
 72-82,0,0.54,1.73,0,30.41,0,11.6,5.63,33.44,0.59,0,0,0,0,24.07,0,11.07,0,753.87,0,0,0,1.37,0,0,0,0,105.56,0,0.87,0,30.74,0
 84-94,0,0,2.92,0.68,33.73,0,6.13,12.89,64.36,0,0,0,13.44,0,10.4,0,12.62,1.48,442.17,1.28,0,0,14.47,0,0,0,0,66.25,0.72,0,1.94,30.43,0
 96-106,0,0,9.1,13.03,33.71,0,14.66,6.58,58.93,0,1.06,1.55,5.88,0,11.1,0,7.42,0,447.52,0.91,0,0,14.07,0,2.1,0,0,44.14,2.26,0,0.95,15.61,0
108-118,0,0.92,6.92,0,2.95,1.78,14.37,3.43,63.02,0.64,0,0,0,0.76,42.14,0,1,0.82,487.3,0,0,0,11.8,0,0,0,0,37.69,0,0,0,38.12,0
120,0,0,0,0,15.82,0,5.08,3.56,26.4,0,3.91,0,0,0,17.29,0,0,0,284,0,0,0,14.01,0,0,0,0,18.17,0,0,0,33.57,0
