stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,60.62,812.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.93,0,0,0,0,0,0,0,0
  5-6,39.06,1017.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.98,0,0,9.67,8.52,0,0,0,0,0,0,0,0
  7-9,0,5.25,0,7.45,0,14.81,0,0,0,0,0,10.36,0,0,0,0,0,0,0,0,180.22,14.81,0,41.62,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.22,0,9.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.33,0,0,45.54,0,0,19.46,0,0,0,0,0,0
 14-21,0,0,0,0,6.13,2.38,0,0,0,0,0,0,0,0,0,0,1.01,2.29,0,0,56.57,0,0.86,0,0,4.12,0,3.15,9.54,0,0,0,0
 24-34,0,0,0,0,3.34,8.76,0,0,0,0,0.67,0,0,0,0,0,0,3.95,0,2.75,77.56,0.95,3.24,0,0,0,0,1.83,31.39,0,4.03,0,0
 36-46,0,0,0,0,0.57,17.53,0,0,1.45,5.97,0,0,0,0,0,0,0,18.35,1.94,0.58,85.9,0,0,0,2.08,0,0,0,12.91,0,0,0,0
 48-58,0,0,0,0,0.4,15.12,0,0,1.13,9.11,0,0,0,0,0,0,0,8.94,0.47,2.34,76.12,0,0,0,0.85,0,0,0,15.04,0,0.44,0,0.53
 60-70,0,0,0,0,0,24.41,1.99,0,0,25.24,0,0,0,0,0,0,0,3.7,2.73,0.58,43.89,0,0,0,0,0,3.18,0,5.3,0,2.5,0,0
 72-82,0,0,0.54,0,0,27.87,0,0,0,3.53,0.55,0,0,0,0,0.61,0,9.84,0,0.52,42.03,1.46,0.76,0,0,0,0,0,5.69,0,0,0,0
 84-94,0,0,0,0,0,9.66,0,0,0,0,1.36,0,0,0,0,1.57,0,3.26,0,1.61,18.9,1.96,0,0,1.7,0,0,0,0.95,0,1.66,0,0
 96-106,0,0,0,0,0,18.63,0,0.64,0,2.42,2.01,0,0,0.56,0,0,0,3.25,0.69,2.71,20.71,0,0.64,0,2.99,0,0,0,0,2.03,0.62,2.28,0
108-118,0,0,0,0,2.5,2.97,0,0,0,6.85,0,0,0.73,0,2.46,1.24,0,3.57,0,3.12,33.06,0,0.44,0,0,0,0,0,0,0,1.36,0,5.43
120,0,0,0,0,4.25,1.69,0,0,0,30.17,0,0,0,1.28,0,0,0,5.41,0,0,27.94,0,3.96,0,0,0,0,0,5.91,0,1.23,0,0
