stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1486.82,27877.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084.02,0,0,0,0,0,0,0,0,0,0,0
  5-6,2576.25,31401.65,33.08,0,0,0,0,0,0,0,0,0,97.2,0,0,0,0,0,0,0,0,0,0,950.14,98.14,0,0,183.1,0,413.92,0,0,0,0,0,0,0,0,0,0,0
  7-9,328.02,896.95,991.86,0,0,0,2267.43,0,0,0,0,0,667.99,0,0,0,0,0,0,0,0,0,0,22680.43,505.13,0,0,8108.98,0,36.38,284.7,0,12.75,0,0,0,0,0,0,0,0
 10-12,0,490.68,708.69,0,58.3,0,1312.76,0,0,0,0,0,110.89,0,0,0,0,0,7.47,0,0,0,0,11808.94,144.99,0,0,4487.75,0,23.02,203.57,17.75,550.93,0,17.13,19.75,0,0,0,0,0
 14-21,0,0,27.16,297.35,109.06,0,192.62,0,0,0,65.02,9.98,6.51,0,1.71,10.66,1.12,0,0,198.04,0,0,157.05,2984.14,121.15,15.26,21.89,97.24,0,103.1,35.3,318.42,17.39,1.03,172.88,945.45,0,0,6.95,0,0
 24-34,0,0,3.82,74.33,20.05,0,480.94,0,0,0,78.69,1.08,0,3.34,9.88,5.47,2.92,4.07,1.44,386.37,1.43,4.51,135.73,3491.99,12.11,20.27,30.82,0,0,129.21,0.86,1.58,4.58,1.16,12.09,794.03,0,0,80.58,0,12.72
 36-46,0,0,0,92.57,13.48,0,906.71,4.51,2.13,0,47.62,0,0,1.7,11.59,0,18.42,19.32,2.19,286.12,0,6.45,91.25,2067.97,11.02,15.89,8.2,0,0,74.74,0,1.05,6.26,0,0,482.98,0,0,36.1,0,4.22
 48-58,0,0,0,58.56,5.12,0,1054.83,0,0.4,2.7,76.99,3.42,0,13.47,14.43,0.93,3.51,2.37,1.41,299.02,0.55,16.07,69.43,1061.95,3.7,6.58,3.2,0,0,37.65,0.65,0,0.57,0,0,174.73,0,0,50.75,0.48,9.52
 60-70,0.81,0,0,64.89,3.97,0,663.15,4.75,2.25,0,60.94,8.07,0,1.37,20.6,0,8.16,5.06,1.49,212.05,0,14.84,23,584.51,0.93,0,9.55,0,0,19.6,0,0,0,0,0,44.92,0.65,0,29.22,0.64,0
 72-82,0,0,0,48.39,9.01,0,254.2,3.05,0,0.99,82.22,6.19,0,7.61,9.53,6.79,4.43,3.97,1.03,198.99,0.73,11.66,50.3,375.29,2.6,5.23,4.29,0,0.71,8.08,0,0,0.56,0,0,14.37,1.34,0.56,28.5,0,1.1
 84-94,0,0,0,32.45,4.24,1.36,219.54,0,0,1.55,50.56,12.58,0,2.9,11.87,2.71,7.37,6.25,0.88,185.01,0,19.2,25.93,297.33,2.22,3.63,11.21,0,0,10.15,0,0,4.29,0,0,9.39,6.04,0,34.94,0,3.09
 96-106,0,0,0,39.11,12.35,0.57,126.34,2.7,0,6.92,67.45,10.39,0,6.94,28.42,0.81,1.11,0.66,2.64,92.86,1.66,4.93,14.67,265.07,2.69,4.3,7.51,0,0,7.66,0,0,5.44,0,0,3.8,0,0,23.02,0,5.56
108-118,0,0,0,29.71,6.93,1.11,161.78,0,0,1.37,66.58,9.58,0,0,22.33,0.49,4.05,1.38,5.92,70.39,0,12.29,27.86,303.91,0.99,6.52,4.1,0,0,16.16,0,0,5.42,0,0,6.49,4.54,0,18.48,0,0.98
120,0,0,0,9.72,21.3,0,201.07,0,2,0,100.01,3.99,0,0,24.88,1.45,12.97,0,6.91,65.5,0,0,14.13,281.12,0,3,3.28,0,0,10.12,0,0,0,0,0,3.82,0,0,15.64,0,0
