stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,100.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.67,92.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61,3.22,0,0,5.87,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.24,15.65,0,0,25.31,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.97,2.52,0,0,0,0,0,0,1.01,0,0,0,0,0,0,30.58,0,0,2.86,9.84,50.25,0,0,0,0,0,0.9,0.82,0,0,3.94,9.68,0,0,0,0
 24-34,0,0,0,1.48,1.95,0,0,0,2.77,10.76,0,0,1.58,0,0,0,0,0,115.07,0,0,11,29.47,24.96,0.84,0,0,0,0,0,0,0,0,11.77,11.46,0,0,0,0
 36-46,0,0,0,0.58,1.34,0,2.57,0,4.2,34.32,0,1.04,1.62,0,0,0,0,0,202.17,0,1.14,17.5,31.07,7.89,0,0,0,0,0,0.81,1.78,0,0,0,6.73,0,3.38,0.92,0
 48-58,0,0,0,8.57,0,0,7.72,0,0,56.07,1.05,0,7.44,0,0,0,0,0.48,428.6,0,1.7,38.18,60,1.69,0,0.4,0,4.3,0,0,0,0,1.63,0,11.9,0,23.02,0,0
 60-70,0,0,0,3.84,0,0,14.45,0,11.51,41.7,0,0,16.52,0,0,0,0,0,768.24,0.58,8.88,27.98,54.93,0,0,0,0,12.25,0.61,0,0,0,0,0,18.6,0,172.48,0,0.73
 72-82,0,0,0,15.09,1.33,0,53.18,1.29,3.67,81.04,8.3,0,17.94,0,0.84,0,0,0,1564.28,0,24.91,43.29,56.16,2.08,1.06,2.37,0,3.68,0.6,0,0,0,0,0,6.37,1.44,442.86,0,25.51
 84-94,0,0,1,29.54,3.31,0,72.13,0,3.15,34.41,4.43,0,19.88,0,0.68,0,0,0,1273.41,0,36.18,38.93,37.41,0,0,0,0,4.35,1.74,0,0,0,0,0,8.42,0,299.4,0,44.55
 96-106,0,0,0,33.37,21.95,0,36.73,0.67,1.78,31.96,20.69,1.58,23.47,1.7,0.85,3.95,0,4.26,1426.65,0,56.04,42.62,77.22,0,0,0,0,16.54,7.76,0,0,0,0,0,14.33,0,828.32,2.18,36.86
108-118,3.02,0,0.97,28.9,0,2.22,18.56,0.92,5.23,40.3,11.03,12.24,6.47,1.1,5.19,1.02,0,3.28,1442.18,0,59.8,33.69,85.96,3.51,0,0.78,0,27.6,0,0,0,0.67,0,0,14.43,1.01,632.12,5.05,37.31
120,0,0,1.28,16.53,3.56,0,50.56,0,0,27.2,7.98,0,6.44,0,1.45,3.5,1.69,1.84,1158.69,1.56,72.85,31.03,52.9,0,0,0,0,15.79,1.21,0,0,0,0,0,7.99,0,583.85,0,33.83
