stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste
  3-4,25.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0
 14-21,0,34.98,0.88,0,0,0,0,1,0,0,0,0.92,0,0,0,0,0,7.05,0,6.43,0,0,1.14,0,0.81,0,0
 24-34,0,69.7,1.36,0,0.8,0,0,0.64,0,0.79,0,0,0,0,0,0,2.56,52,0,30.74,1.65,0,3.02,0,0,3.37,0
 36-46,0,50.48,4.58,0,0,0,1.35,0,2.22,0,0,0,0.58,0.62,0.56,0,0.87,105.87,0,11.09,0,1.04,3.13,3.84,0,3.07,0
 48-58,0,40.18,9.07,0.48,2.1,0,1.35,0,0,0,0,0,0,2.57,0,0,0.44,82.98,5.1,3.74,0,0,2.74,22.72,0,3.03,0
 60-70,0,40.54,15.7,0,4.44,0,0,0,0,0.61,2.2,0,0,1.27,0,0.6,0.88,61.12,0,6.57,1.18,0,0,1.9,0,2.04,0
 72-82,0,22.43,10.05,2.9,1.26,0,3.31,0,0,1.28,0,0,0,2.27,0,0,0,52.87,0,11.84,1.58,0,0,0.5,0,0,1.23
 84-94,0,43.96,4.18,0,5.12,0,0.95,0.58,0,2.78,0,0,0,6.06,0,0,0,75.9,0,3.48,4.05,0,1.09,2.9,0,6.13,0.85
 96-106,0,51.18,0.85,0.73,0.65,1.05,0,0,0,3.61,0,0,0,6.49,0,0,0,26.58,0,12.86,4.01,2.17,1.05,1.91,0,0,1.64
108-118,0,44.5,9.66,0,12.45,0,0.54,0.47,0,0.49,1.51,5.81,0,1.35,0,0,0.48,43.96,0,13.19,2.76,6.57,1.22,1.5,0,0,1.89
120,0,69.93,9.54,0,13.49,0,0,1.26,0,0,0,0,0,0,0,0,0,97.2,0,7.61,0,1.35,4.05,1.03,0,0,0
