stage,blastomeres,endoderm,eye,neural,paraxial_mesoderm,periderm,spinal_cord
  5-6,13.87,0,0,0,0,15.25,0
  7-9,6.15,13.92,4.44,18.22,19,0,0
 10-12,0,0,0,12.82,0,0,0
 24-34,0,0,0,4.64,0,0,0
 60-70,0,0,1.12,0,0,0,1.16
