stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.72,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,22.65,0,0,0,0,0,0,0
 14-21,2.11,0,1.13,0,0,0,0,0,0.97,0,0,0.87,0,0,0,22.54,1.1,0,0
 24-34,0.6,3.58,0,0,1.33,0,0,1.94,0,3.22,0,4.32,0,0,0,97.5,0,0,0
 36-46,0,0.56,0,0,0,0,0,8.11,0,0,0,13.66,0,0,0,80.84,0.83,0,0
 48-58,0.4,0,0,0,0,0,0,11.42,9.12,0,0,1.01,0,0,0,35.11,3.54,0,0
 60-70,0.65,0,0,0,0.82,0,0,21.79,2.31,0,0,5.46,0,0,0,52.76,0,0,0
 72-82,15.51,0,0,2.24,0,0,0,38.34,4.65,3.43,0.54,5.21,0,0,0,27.39,0,0,0
 84-94,8.53,0.59,0.63,0,5.13,0,0.66,63.65,4.28,0.57,0,1.34,0,0,0,63.28,0,0,1.17
 96-106,10.66,0.65,0,0.82,0,0,2.34,60.27,5.65,0,0,11.77,0,1.19,0,43.44,0,0.85,0
108-118,6.34,0.63,0.51,0,6.46,1.1,5.42,46.55,3.51,5.98,0,13.31,1.33,0,0,34.32,0,0.47,0
120,9.43,4.41,0,0,0,0,0,34.41,1.43,1.91,0,21.05,0,0,0,16.28,0,2.46,0
