stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,98.85,3509.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.64,0,0,0,0,0,0,0,0,0
  5-6,206.22,5343.93,10.71,0,0,0,0,0,0,0,47.7,0,0,0,0,0,0,0,0,0,495.28,7.94,0,0,47.16,0,81.19,0,0,0,0,0,0,0,0,0
  7-9,36.06,92.24,70.03,0,0,146.67,0,0,0,0,19.81,0,0,0,0,0,0,0,0,0,1498.18,68.47,0,0,458.93,0,0,20.09,0,0,0,0,0,0,0,0
 10-12,4.89,75.94,48.18,0,0,103.58,0,0,0,0,10.58,0,0,0,0,0,0,0,0,0,1142.07,31.33,0,0,443.43,0,6.84,0,0,66.05,0,4.93,0,0,0,0
 14-21,0,0,5.56,27.84,5.6,20.86,0,0,8.39,0,2.04,0,0,0,0,0,0,20.34,0,8.36,331.32,6.67,2.06,1.38,10.13,0,0,0,30.23,0,1.08,21.48,75.59,0,0,0
 24-34,0,0,1.98,5.78,0.78,27.32,0,0,5.88,0.64,0,0,0,0,0,0.63,0,28.92,0,9.08,427.49,2.19,0.78,3.7,0,0,1.84,0,0,0,0,1.88,75.33,0,1.56,0
 36-46,0,0,0,2.7,0,52.28,0,0,2.63,0.72,0,0,1.9,0,0,0,0,25.19,0.56,5.37,257.26,0,2.1,1.55,0,0.77,11.16,0,0,0,0,0,48.94,0,0.56,0
 48-58,0,0,0,0,0,77.34,0,2.19,26.46,0.6,0,0,0,0,0.43,0,0.38,29.92,0.5,5.73,175.76,1.94,2.41,2.38,0,0,1.83,0,0,0,0,0,47.49,0,3.78,2.3
 60-70,0,0,0,0,0,51.4,0,0.72,17.29,1.66,0,0,0,0,0,0,0,24.92,9.44,1.24,69.65,0,1.56,0,0,0,0,0,5.3,0,0,0,11.11,0.57,6.62,0
 72-82,0,0,0,1.23,0,30.45,0,2.75,11.18,0,0,0,0,1.68,0,0,0,27.26,0.93,1.21,54.58,0,0,0.88,0,0,1.62,0,0,0,0,0,7.74,0,12.59,0
 84-94,0,0,0,6.23,0,17.95,0,0,19.88,0.57,0,0,1.22,0,0,0,0,8.69,0,1.86,39.96,0,2.35,1.48,0,0,1.22,0,0,0,0,0,14.99,1.13,0,0
 96-106,0,0,0,0.91,0,14.91,0,0,8.02,0.68,0,0.78,0,1.12,0,0,0,2.98,0,2.55,32.16,0,0,0,0,0,11.01,0,0,0.69,0,0,1.99,0,3.67,0
108-118,0,0,0,0.49,0,20.74,0.62,0,9.43,0,0,0,0.45,0,0.97,0,1.74,15.24,0,1.99,26.06,0,0,0,0,0,4.71,0,0,0,0,0,5.24,0,0,0
120,0,0,0,0,0,3.75,1.62,0,6.84,0,0,0,0,0,0,0,0,1.08,0,4.03,37.08,0,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0
