stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.29,115.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.72,0,0,0,0,0,0,0
  5-6,0,43.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.74,0,0,0,12.44,0,3.53,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,16.62,0,0,6.79,0,0,0,0,0,0
 14-21,0,0,0,7.79,0.86,0,1,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,0,0,3.08,1.31,3.96,0,0,0,0,0
 24-34,0,0,0.67,20.52,0.67,0,0,0,0,0,0,0,0,0,0.66,1.43,0,0.97,0,0,0,1.78,0,0,6.16,0,2.43,2.26,0,0,33.62,0,5.71,0.82,0,4.96,0,1.04
 36-46,0,0,0.85,5.24,0,0,0,0,1.45,0,0,0,0,1.47,1.22,0,0,1.37,16.14,0,0.62,0.6,0,0.75,14.9,0,0.94,3.79,0,0,51.82,0,10.04,0,0,3.22,0,0
 48-58,0,0,0.68,14.43,0,0,1.45,0,0,2.12,1.51,0,0,0.55,4.78,1.82,0,0,0,9.52,2.28,2.04,0.42,0.44,24.81,0.54,4.2,0.52,0,0,30.52,0,6.69,5.48,0,1.3,0,10.03
 60-70,0,0,0,22.3,0,0,1.85,0,5.73,0.83,11.1,0,0,0,4.9,1.4,0,2.11,0,0,4.81,3.05,1.04,0,24.79,0,8.64,4.52,0,0,59.87,0,0.67,2.34,0,3.56,0,0
 72-82,0,0,2.16,7.67,0,0,6.05,0,2.35,0.67,12.74,2.55,0.59,0,1.76,2.99,4.18,4.18,2.18,0,22.47,4.32,0.88,1.33,20.66,1.23,7.58,5.29,0,0,57.57,0,8.5,0,2.18,9.84,0,17.28
 84-94,0,0,1.33,23.99,6.5,0,15.09,0,5.44,2.12,34.04,1.54,0,1.45,11.96,6.14,0,1.32,0,0,9.59,8.05,0,0.82,20.76,0,4.07,11.71,0,0,150.69,0,10.28,0,4.76,4.91,2.71,45.82
 96-106,0,0,1.17,37.38,1.66,1.52,30.85,0.64,3.83,0,29.67,11.68,0,0,9.04,9.89,2.73,0.67,0,0,17.93,13.95,0,0,40.45,0.58,25.2,15,0,1.28,116.82,0,7.76,3.03,6.18,4.13,0,41.04
108-118,0,0,0.79,67.55,3.75,0,14.91,0,15.13,0,45.41,17.65,0,0,11.13,12.43,2.02,7.36,0.43,0.83,24.58,10.63,0,0,40.08,0.55,11.62,17.11,0,0,111.78,0,9.16,0,7.03,6.75,0.71,103.71
120,0,0,0,73.84,0,0,7.38,2.11,13.35,3.18,28.9,15.3,0,0,28.49,2.26,3.64,5.88,4.58,0,31.25,0,0,2.24,20.73,0,5.26,13.87,0,0,45.69,0,4.19,0,5.02,10.3,8.03,44.97
