stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,9.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,4.99,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.3,0,0,0,18.41,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.57,26.72,4.56,0,1.48,0,0,0,0,2.13,0,6.92,0,3.29,0,0,0,1.84,2.92,0,0,0.82,22.48,0.95,1.37,0,0,0,1.21,1.12,1,4.02,12.2,0,0,1.68,0,0
 24-34,0,0,5.62,7.73,0,0,1.16,0,1.3,10.03,1.06,0,0,36.56,0,1.38,0,0,0,0,9.41,0,0,0.83,28.69,0,10.72,0.74,0,0,7.79,0,0,10.91,5.72,0,0,64.95,0,0
 36-46,0,0,0.96,0,0,0,1.3,0,0,31.18,4.94,0,0,7.16,0,0,0,0,0,0,26.89,0,0,3.45,54.91,0,40.47,3.52,0,0,5.6,0.81,0,1.64,3.71,0,0,22.5,0,0
 48-58,0.58,0,0,7.55,0,0,2.97,0,0,106.44,3.18,0,0.39,10.12,1.2,0,3.8,2.07,0,0,66.42,0,0.42,5.91,33.26,0,16.39,46.03,0,0,5.98,0,0,5.85,1.93,0,0,45.73,0,0
 60-70,0,0,0,4.22,0,0,9.22,0,4.62,132.04,32.7,0,0,5.41,2.21,2.24,0,0.85,0,0,464.21,2.37,0.8,7.24,93.72,0,8.58,43.74,0,0,0.6,0,0,0,6.95,0,3.37,13.24,0,1.98
 72-82,0,0,0,12.59,0,0,36.16,0.72,0,164.31,188.65,12.94,0,8.24,0,2.93,0.93,0,5.23,0,887.91,1.1,2.73,25.43,149.17,0,3.77,77.15,0,1.05,0,0,0,0,4,0,4.57,26.38,4.5,4.19
 84-94,0,0,0,5.68,5.69,0,39.26,0,0.87,105.52,105.3,7.73,0,6.61,5.39,3.49,0,1.31,0,0,728.92,8.9,1.01,17.99,154.76,0,10.8,123.43,0,0,2.07,0,0,0,2.35,0,3.71,51.68,10.18,7.62
 96-106,0,0,0,16.48,2.69,0,41.58,1.45,8.41,109.73,188.05,12.82,0,16.58,1.63,4.79,2.22,8.52,1.54,0,712.95,2.03,13.37,13.81,124.92,2.63,33.28,112.77,0,0,3.86,0.64,0,0,5.37,0,11.03,55.42,0.74,0
108-118,0,0,0,2.71,4.16,0.45,29.7,0,0,94.82,138.05,8.22,0,10.04,2.73,9.36,0,4.51,0,0,857.8,2.64,1.89,11.26,125.49,0.43,21.47,188.29,0,10.06,0.76,0,0,0,1.79,0,5.18,58.29,1.69,4.47
120,1.12,0,0,37.14,1.41,0,79.59,0,12.5,239.79,156.86,6.59,0,4.06,24.82,5.2,0,12.31,11.4,0,969.18,0,0,18.99,160.05,0,15.44,185.19,0,0,15.45,0,0,4.58,0,2.31,6,90.84,0,0
