stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,64.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.84,51.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0
  7-9,0,16.36,0,26.8,0,0,10.81,0,0,0,0,0,0,0,0,0,0,52.5,6.66,0,860.23,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.84,0,44.18,0,0,3.97,0,0,0,0,0,0,0,0,0,0,239.41,46.4,0,2369.18,0,0,40.63,25.09,0,83.94,0,0,0,0
 14-21,0,0,0,2.42,2.98,0.91,0,0,0.85,0,0,0,0,0,0,0,10.28,33.01,0,0,1.03,0,0,248.53,0,14.17,106.65,3.91,0,0.89,0
 24-34,0,0,0,0.61,0.7,0,0,0,0,0,0,2.64,0,0,0,4.09,0.76,15.17,0,0,0,0,0,0.83,1.05,0,3.81,5.15,0,1.1,0
 36-46,0,0,0,0,0.77,0,0,0,0,0,0,4.03,0,0,0,13.01,1.4,17.19,0,0.78,0,0,0,0,0.58,0,0,3.59,0,5.79,0
 48-58,0,0,0,0,1.41,0,4.86,0,1.63,0,0.59,19.68,7.39,0,0,5.34,1.66,12.33,0,1.09,0,0,0,0,0,0,0,8.53,0,2.18,0
 60-70,0,0,0,0,1.3,0,7.48,0,0.93,0,0,21.58,0.82,3.28,12.78,4.42,0.75,10.09,0,1.02,0,0,0,0,0.82,0,0,5.76,0,0,1.79
 72-82,0,0,0,0,0,1.2,16.06,0,1.87,0.73,0,28.78,0.76,3.07,0,9.91,1.76,15.32,0,0,0,0,1.16,0,0,0,0,0,2,9.82,0
 84-94,0,0,2.21,0,3.59,0,2.89,1.85,2.78,1.3,0,37.12,0,5.85,0,5.88,0,18.34,0,0,0,0,0,0,2.21,0,0,1.92,0,1.43,0
 96-106,0,0,0,0,2.58,0.8,0.89,0,1.01,3.54,0,44.36,0,2.25,1.45,8.45,0,13.18,0,0,0,0,0,0,0.7,0,0,0,0,1.43,0
108-118,0,0,0.75,0,8.68,0,4.71,0.83,2.04,8.52,3.6,28.68,5.18,11.14,2.29,10.75,3.11,56.34,0,0,0,0,0,0,2.54,0,0,8.92,0.69,6.71,1.2
120,0,0,0,0,12.19,5.11,0,0,3.22,5.16,0,75.22,14.03,10.07,30.16,2.48,1.65,52.97,0,0,0,24.69,0,0,1.12,0,0,23.67,0,6.68,9.06
