stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,15.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.88,0,0,0,0
  5-6,90.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,32.6,0,3.86,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.39,0,0,0,0,0,0,0,0
 14-21,0,10.26,3.43,0,0,0,0,0.81,0,1.66,0,0,0,0,1.46,272.35,0.94,0,0,0,0.84,0,0.87,4.05
 24-34,0,0,3.17,0,0.61,0,0,2.15,0,0,0,0.62,0,0,0,348.14,0,0,0,0.7,0,0,0,3.56
 36-46,0,0.83,4.4,0,20.01,0,0,0,0,0,1.49,0,0.77,0,0,139.67,0,0,0,14.55,0,4.74,0,4.73
 48-58,0,2.15,4.78,0,7.74,0,0,0,0,0,0,0.49,0,0,0,35.18,0,0,0,0,0,0,0,4.18
 60-70,0,0,0,0,13.67,0,0,0,0,0,0,0.76,0,0,0,6.08,0,0,0,0,0,0,0,0
 72-82,0,0,9.77,0,3.67,0,0,0,0.69,0,0,0.99,1.04,0,0,12.11,0,0,0,0,0,0,0,2.46
 84-94,0,0,2.29,0,2.16,0,0,0,0,0,1,0.61,0,0,0,9.35,0,0,0,0,0,0,0,4.96
 96-106,0,0,0,0,17.89,0.88,0,0,0,0,0,0,0,0,0,4.04,0,0,1.03,0,0,0,0,0
108-118,0,0,3.73,1.29,0,1.35,0,0,0,0,0,2.58,0,0,0,8.75,0,0,0,0.84,0,0,0,0
120,0,0,4.16,0,2.12,1.46,0,0,0,0,0,0,0,5.9,0,8.57,0,0,0,0,0,0,0,0
