stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,345.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.34,200.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.66,0,0,0,137.2,0,16.55,0,10.22,0,8.15,0,0,0,0,0,0
 14-21,0,0,8.71,1.81,186.26,0,0,0,0,3.73,0,0,0,0,0,0,0.87,2.79,0,0,22.82,2.67,0,12.1,17.59,0,0,6.57,0,9.36,0,66.36,0,56.92,299.41,0.99,0,0,0,0,0
 24-34,0,0,11.99,1.3,151.56,0,0,0,2.1,15.95,0,3.63,0.63,0,0,0,6.38,31.09,3.63,0,47.44,2.14,0,25.38,36.04,0,5.56,90.12,0,5.55,0,0.85,9.48,16.95,53.26,3.72,0,0,3.04,0,11.32
 36-46,0,0,0,0,79.91,0,0,3.79,8.62,21.28,0,8.07,0,0,0,0,2.24,40.28,1.45,0,26.61,0,0,29.39,79.33,0,10.35,88.93,0,3.83,0,0,0.62,5.88,1.09,7.72,0,0,0,0,0
 48-58,0,0,0,0.52,87.32,0,0,5.71,16.38,20.3,0,30.49,2.34,0.5,0,0,1.78,61.47,0,0,8.56,0,0,68.13,107.46,0,8.07,45.81,0,1.21,0,0,0,9.19,0,13.82,0,0,0,0,0
 60-70,0,0,0.62,0,106.44,0,0,13.66,12.75,13.35,0,24.5,23.47,0,0,0,2.48,79.78,0,0,14.69,0.57,0,29.59,57.15,0,5.78,69.28,0,14.83,0,0,0,0.68,0,8.78,0.61,0,0,0.98,0
 72-82,0,0,5.7,0,137.03,0.51,0,24.91,21.54,2.87,0,30.33,42.11,0,0,0.99,3.07,88.05,1.65,0,18.6,2.86,0.53,8.83,56.44,0,23.88,72.72,0,8.88,0,0,0,7.81,0,0,2.97,0,5.48,0,8.54
 84-94,0,0,5.07,0,327.21,0,0,24.49,28.32,26.07,2.12,22.75,55.83,0,0,0,10.22,108.63,0,0,9.87,4.07,0,15.61,43.5,0,9.39,65.36,0,26.86,0,0,0.74,1.01,0,4.82,2.69,0,0,5.37,0
 96-106,0,0,5.02,1.29,322.08,0,0.66,28.75,10.65,44.6,0,31,70.94,0,0.61,6.48,8.65,116.26,4.52,0,14.84,5.64,0,10.5,105.88,0,29.76,82.58,0,25.92,0,0,0.82,0.6,0,0,2.93,0,1.81,0,0.8
108-118,0,0,3.66,2.98,373.51,2.94,0,12.45,6.62,34.13,0.83,8.95,73.6,0,0,1.24,11.61,103.72,5.48,0.78,18.88,6.59,0,10.27,78.17,0,28.44,86.08,0,29.42,0,0,0,1.16,0,4.75,4.24,0.72,0.77,0,0
120,1.12,0,7.01,0,311.34,4.05,5.97,22.39,6.04,20.6,0,6.96,84.66,0,0,0,11.96,36.41,1.05,0,18.21,1.48,0,21.5,20.53,3.03,15.35,55.1,0,28.71,0,0,0,0,0,0,6.72,0,0,13.4,0
