stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,37.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.77,0,0,0,0,0,0,0,33.58,0,11.44,0,0,0,0,0,0
 10-12,6.98,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,31.44,0,13,0,0,0,0,0,0
 14-21,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87,154.72,0,1.6,3.97,0,3.31,5.46,0
 24-34,0.83,1.55,3.89,1,0,1.63,0,0.67,0,0,0,0,0,5.57,0,1.12,15.41,73.1,0,1.18,0,1.04,0.62,3.35,1.11
 36-46,0,0,1.91,0,0,5.91,0,0,0,0.61,0,0,0,7.5,0,1.2,34.88,69.06,0,8.16,0,0,0,5.12,0
 48-58,0,0,0,0,0,2.54,0.58,0,0,4.85,0,0,0,10.81,0,0,17.58,69.15,0,0,0,0,0,0.39,0
 60-70,0,0,0,4.71,0,0,0.8,0.96,0,43.43,0,0,0,39.2,0,0.77,6.03,73.77,0,1.22,0,0,0,3.81,0
 72-82,0,0,0,0,0,17.24,0,0,0,33.58,0,0,0,80.91,1.12,0,14.56,82.77,0,0,0,0,0,9.78,0
 84-94,0,0,0,0,0,14.88,0.82,1.82,0,56.75,0,0,0,78.85,0,0,6.86,112.57,0,7.28,0,0,0,0,0
 96-106,0,0,0,6.88,0,4.96,1.86,2.9,0,38.8,0,0,12.21,52.62,0,0.92,13.49,63.55,0,0,0,0,0,0,0
108-118,0,0,0,0,0.5,0,0,2.6,0,35.02,0.87,0.43,0,56.13,0,1.09,22.93,120.44,0,1.58,0,0,0,0,1.1
120,0,0,0,0,0,4,0,0,0,81.38,0,0,0,46.78,0,1.18,23.92,131.17,0,0,0,0,0,0,0
