stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,76.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.89,3.21,0,6.32,0,0,10.53,0,0,0,0,6.32,0,0,0,0,0,0,0,0,0,97.46,0,0,0,42.48,0,5.11,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.73,0,0,11.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.78,0,0,0,8.36,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0.81,0,0,0,1.96,0,0,0,18.43,0,1.03,0.81,0,0,0,0.81,0,0,6.69,4.9,0,0,0
 24-34,0,0,0,1.12,0,0,1.3,0,0,0,0.67,0,0.75,1.72,0,0,0,5.07,0,0,0,27.39,0,1.36,0,0,3.98,0,0,2.2,0,0,5.54,0,0.94,0
 36-46,0,0,0,0,0.9,0,11.86,0,0,5.42,0.58,0,17.87,0,0,0,0,2.62,0,0,2.7,61.67,0,1.45,0,0,1.74,0,0,0.67,0,0,4.44,0,0,0
 48-58,0,0,0,0,0,2.22,14.48,2.85,0,7.59,0,0,0,0,0,0,0,3.29,0,0,0.89,75.34,0,2.09,0,0,3.07,0,0,0,0,0,15.01,0,1.25,0
 60-70,0,0,0,0,2.74,4.47,45.5,0,0,21.14,3.52,0,15.78,0.7,0,0,0,6.96,1.91,0,1.13,78.08,0,0.96,0,0,8.97,0,0,1.87,0,0,12.95,0,6.89,0
 72-82,0,0,0,0,0,0,26.21,0,0.58,50.34,2.54,0,1.77,0,0,0,0.57,16.96,0,0.94,0.67,73.79,0,0.88,1.16,0,3.88,0,0,0,0,0,11.31,0,2.57,0
 84-94,0,0,0,0,0,0,12.28,0,0,68.47,0.59,0,3.11,0,0,0,0,9.82,0.92,0,1.04,52.58,0,3.64,0,0,2.94,0,0,1.74,0,0,5.44,0.62,1.96,0
 96-106,0,0,0,0,0.86,0,28.6,0,0,62.64,5.09,0,17.5,0.56,1.05,0,0,10.66,0,0,0,31.55,0,1.37,2.72,0,4.12,0,0,0,0,0,1.35,0,7.58,0.74
108-118,0,0,0,0,0.62,0,6.19,0.72,0,63.29,2.89,0,9.85,2.16,0,1.33,0,5.77,0,0,0.52,45.2,0.89,0,0,0,5.21,0,0,1.06,0.66,0,0,0,3.68,0
120,0,0,4.34,8.82,1.04,0,16.17,0,0,215.14,6.35,0,49.46,3.83,2.63,0,0,14.89,0,0,4.81,102.52,0,0,4.64,0,1.24,0,0,0,0,0,0,0,0,0
