stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,hatching_gland,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,neural,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  5-6,0,51.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.83,0,5.09,0,0,0,0,0,0,3.81,0,0,0,0,0,36.12,9.15,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.97,0,0,0,0,0,0,0,0,0,27.61,21.59,0,0,0,0,0,0,0
 14-21,0,0,2.71,0,1.76,1.89,0,0,0,0,0,0,0,1.09,0,8.77,0,0,0,1.67,0,5.27,1.14,0
 24-34,0,0,0,0,0.66,1.41,0,0,0,0,1.23,0,0,0,0,12.15,0,0,2.13,0,0,0,0,1.32
 36-46,0,0,0,1.07,0,2.91,0,0,0.61,0,0,0,0,4.31,0,25.41,0,0,0,0,1.91,0,2.22,5.51
 48-58,0,0,0,0,0,9.43,0.66,0,0.98,0,0,0,0,1.66,0,15.15,0,0,0.39,0,0,0,5.71,0
 60-70,0,0,0,0,10.02,5.04,0,0.63,10.22,0,0,0,0,5.29,1.19,6.89,0,0,7.67,0,0,0,1.47,0
 72-82,0,0,0,0,0,13.61,0,0,0.78,0,0,0,0,2.41,0,24.85,0,0,0,0,0,0,1.67,1.74
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,1.03,0,0,0,0,0
 96-106,0,0,0,0,0,5.8,0,0,1.61,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
108-118,0,0,0,0.76,0,2.52,0,0,0,0,0,0.42,0.49,4.21,0,8.17,0,0,3.59,0,0,0,4.37,0
120,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0
