stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,705.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.36,209.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.11,11.46,0,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.94,0,0,0,45.3,0,0,12.84,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.6,0,9.69,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.61,23,0,0,38.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.05,15.15,1.63,0,0,0,0,0,34.18,0,0,0,0,0,0,0,1.54,23.51,0,0,4.49,88.35,3.85,3.47,3.39,1.09,0,3.59,2.69,8.05,10.76,0,3.33,86.25,0,0,3.89,0,0
 24-34,0,0,0,0,6,0.83,0,12.41,0,0,0,43.32,0,1.04,0,0,3.58,0.86,0,2.96,39.29,0,0,8.84,489.05,4.92,4.85,1.49,0,0,2.88,0,0,3.27,0,2.18,127.11,0,0,16.48,0,0
 36-46,0,0,0.73,0,2.39,0,0,20.9,6.85,0,0.75,34.69,0,1.32,1.76,0,0,0,0,0,49.2,0,0,7.14,630.61,1.61,5.73,2.14,0,0,20.15,0.91,0,5.79,0.7,0,137.75,0,0,11.23,0,1.11
 48-58,0,0,0.67,0,7.19,0,0,77.39,1.57,0.37,2.15,41.73,0,0,0,0,2.39,0,0,2.39,46.91,0,1.69,7.96,1001.84,0.38,0,0.4,0,0,8.29,0,0,0.56,6.07,0,150.1,0,1.68,8.54,0,16.04
 60-70,0,0,0,0,0,0,0,107.13,0,3.41,1.45,32.16,0,1.5,4.42,0,4.96,0,0,0,45.63,0,0,0.78,788.93,0,3.89,1.58,0,0,4.22,0,0,0,0,0,136.13,0,0.98,11.7,0,14.31
 72-82,0,0,0,0,4.31,0,0,95.86,0,0,2.72,31.85,2.7,0,1.4,0,6.86,0,0,0,66.58,0,1.62,5.94,538.79,0,4.79,9.75,0,3.12,2.99,0,0,0.49,0,0,67.43,0.8,0,9.34,1.61,1.98
 84-94,0,0,1.4,1.01,9.34,0,0,70.86,0,0,1.65,25.42,0,0,0.65,0.73,6.79,0.9,0,0,75.61,0,4.13,5.88,362.41,0,4.31,5.03,0,0,11.48,0,0,0,0,0,60.02,0,3.03,13.64,0.87,7.59
 96-106,0,0,1.68,0,4.49,0,1,45.93,0.61,0,0.64,33.25,0,0.8,3.18,1.69,2.51,0.58,0,0,58.98,2.72,0.57,3.59,255.94,1.15,1.77,10.75,0,0,9.36,0,0,0,0.64,0,12.13,0,0,10.71,2.21,5.19
108-118,0,0,1.11,0,4.76,1.42,0,70.54,1.08,0,0,45.52,0.68,1.67,5.72,0,12.27,0,1.62,3.32,63.68,0,2.75,2.92,420.24,1.07,2.24,3.56,0,5.3,5.3,0,0,2.75,0,0,10.94,0,3.23,5.83,1.86,10.26
120,0,0,1.73,0,4.45,0,0,46.5,2.11,0,8.73,8.97,0,0,3.53,0,0,0,0,0,38.19,0,0,1.67,379.02,0,0,1.73,0,2.03,4.28,2.5,0,2.43,0,0,15.8,0,3.86,11.31,0,4.37
