stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,40.96,99.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,153.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,43.21,0,0,0,0,3.45,0,0,0,0,0,0,0,151.16,0,0,0,20.12,0,0,0,0,0,0,0,0,0
 10-12,0,16.25,0,0,0,0,0,0,0,0,3.26,0,0,0,0,0,0,0,51.7,6.53,0,0,32.26,0,0,8.24,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,2.9,0,0,0,25.19,2.79,0,0,0,0,2.22,0,1.72,7.01,0,0,0,0
 24-34,0,0,0.68,0.66,0,5.27,0,0.61,5.87,0,0,0,0,0,3.38,0,0,1.59,70.14,0,0,0,0,0,0,0,0,12.29,0,0.77,0,0
 36-46,0,0,0,0,0,17.7,1.33,0,2,0,0,0,0,0,4.34,0,0,0,125.25,0,0.84,0,0,0,0,0,0,20.02,0,0,0,0
 48-58,0,0,0,0,0,24.73,1.6,0.4,2.97,0,0,0,0,1.78,5.91,0,0,1.06,101.08,0,0,0,0,0,0,0,0,18.23,0,0.82,0,0.38
 60-70,0,0,0,0,0,67.76,0,0,1.35,0,0,0,0,0,6.19,0,1.3,0,69.88,0,0,0,0,0,1.66,0,0,9.43,0,0,0,2.47
 72-82,0,0,0.75,0.53,0.52,21.48,0,0,2.44,1.38,0,0,0,0,5.87,0,0,1.48,72.01,0,0,0,0,1.12,0.54,0,0,0.99,0.62,0.49,0,0
 84-94,0,0,0,2.44,12.43,28.14,0,0,3.92,0,0,0,0,0,4.58,0,0,0.69,31.67,0,0,0,0,0,3.53,0,0,1.98,0,1.04,0,0
 96-106,0,0,0,1.58,0,25.04,0,0,3.29,0,0,0,0,0,2.17,0,0,0,24.46,0,0,0,0,0,0,0.6,0,0,0,0,1.22,0
108-118,0,0,0,3.52,0,6.18,0,0,2.2,1.5,0,1.1,0,0,5.43,0.71,0,0.47,30.26,0,1.35,1.65,0,0,7.54,0,0,0,0,1.36,0,0
120,0,0,0,0,0,7.84,0,0,22.1,0,0,0,1.79,0,4.81,0,0,0,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0
