stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,182.09,3984.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367.88,0,0,0,0,0,0,0,0,0,0
  5-6,350.36,8112.44,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0,0,422.7,17.31,0,0,46.76,910.21,0,0,0,0,0,0,0,0,0,0
  7-9,691.52,2334.7,0,2021.54,0,27.82,10124.85,0,0,0,0,0,3031.28,0,0,0,0,0,0,0,0,0,0,0,63500.43,1871.3,0,0,17801.31,536.71,45.99,0,39.39,0,0,0,0,0,0,0
 10-12,32.91,2571.87,0,2888.85,0,244.19,10204.11,0,0,0,0,0,2631.31,0,0,0,0,0,0,0,0,0,0,7.75,81324.55,2152.06,0,0,20922.14,200.5,35.52,22.62,1470.38,0,143.23,83.59,0,0,0,0
 14-21,2.31,0,3.47,147.21,1556.57,233.93,490.66,0,0,0,103.59,63.03,198.51,14.52,0,161.81,0,1.57,22.5,5.33,604.49,5.98,0,709.04,5561.39,583.75,6.58,79.87,20.36,175.42,3.84,276.01,91.5,85.7,1195.76,2230.97,0,10.53,0,8.02
 24-34,0,0,3.07,12.08,41.55,7.89,109.49,0,2.55,1.24,36.62,3.89,0.91,4.9,0,60.97,0.89,2.18,39.04,10.83,188.06,5.67,0,134.26,1356.26,3.63,5.41,16.98,0,23.89,0,0,10.19,23.68,60.44,543.3,0,22.5,0,6.65
 36-46,0,0,0.69,0,4.23,0,127.68,3.82,0,2.42,0.74,0.57,0,1.87,0,22.63,0,0,2.57,0,111.94,3.2,0,20.97,685.16,1.31,1.15,5.64,0,18.07,0,0,0.67,37.42,0,246.76,0,2.21,0,0
 48-58,0,0,0,0,0,0,144.61,0,0,1.32,9.8,0,0,0.77,0.8,4.82,2.3,0,0,0.64,53.21,0,1.95,18.18,292.9,0.63,0,0,0,1.09,0,0,0,1.62,0,105.58,0,0.72,0,4.79
 60-70,0,0,0,0,0,0,360.65,1.34,0,6.17,0.64,0,0,0,0,0,0,0,0,0,24.41,0,0,17.55,134.12,0,1.03,0,0,0,0,0,4.54,0,0,26.69,0,0,0,0
 72-82,0,0,0.53,0,3.58,0,232.87,0,3.46,0,4.54,0,0,0,0,4.62,0,2.18,0,0,23.65,0,0,7.89,46.96,0,0,8.22,0,0.64,0,0,0,0,0,16.53,0,0,0,0
 84-94,0,0,0,0,0,3.88,247.13,0,0.79,2.71,3.35,0,0,0,0,0,0,0,0,0,24,1.06,0.95,2.17,50.55,0,0,0,0,1.12,0,0,0,0,0,4.19,0,0,2.75,4.02
 96-106,0,0,0,0,14.44,0,145.33,0,0,1.12,7.15,0.81,0,0,0.78,0,0,0,0,0,20.81,0,0,0,38.12,0,0,0.78,0,1.72,0,0,0,0,0,3.79,0.83,0,0,0
108-118,0,0,0,0,0,2.41,65.02,0,0,4.22,5.29,0,0,0,0,1.03,0,0,0,0,17.28,0,0,2.44,39.51,0,0,0,0,3.53,0,0,0,0,0,3.26,0,0,0,5.08
120,0,0,0,0,1.04,0,69.38,0,0,1.83,13.7,0,0,0,0,2.02,12.97,0,0,0,18.4,0,0,0,17.2,0,0,5.75,0,0,0,0,4.05,0,0,0,0,12.05,0,0
