stage,eye,glial,mesenchyme,muscle,neural,olfactory,otic
 24-34,0,0,0,0,0.85,0,0
 36-46,0,0,0,0,0.76,54.6,0
 48-58,0,0,0.65,0.62,0.49,0,0
 60-70,0.87,0,0,0,1.56,2.34,0
 72-82,0,0,0,0,0,289.04,0
 84-94,0,0,0,0,0,236.81,0
 96-106,0,5.34,0,0,0,140.21,0
108-118,0,0,0,0,3.36,22.18,6.27
