stage,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,0,1.15,0,0,0,0,0,0,0,2.82,0,1.25,0,0,0,1.74,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.67,0,0,13.08,0,4.71,0,0,0.89,9.53,0,0,0.62,0,0,0,0,11.96
 36-46,0,0,0.93,0,0,0,0,0,0,45.3,0,0,0,0,0,13.57,0,0,0,0,0,2.81,0,0
 48-58,0,0,3.28,0,0,0,0,0,0,97.01,0,0,2.09,0,0.45,21.82,0,0,0,0,0,2.37,0,0
 60-70,0,0,12.22,0,0,0,0,0,0,178.77,0,0,1.11,0,0,33.2,2.42,0,0,0,0,2.21,0,0
 72-82,0.5,0,18.17,0,0,0.83,0,0,0,182.77,0.79,10.22,0.92,0,0,21.85,0,0,0,0,0,2.41,0,0
 84-94,0,0,7.99,0,0,1.03,0,0,0,268.33,0,0,0,0,0,10.83,0,1.59,0,4.3,0,0,0,0
 96-106,0,0,6.46,0,0,0,0,0.68,0,264.89,0.7,37.66,9.25,0,0,14.28,0,0,0,0,1.9,0,0,7.02
108-118,0,0.7,6.43,1.9,0.84,0,0,0,0.42,422.14,0,24.17,1.66,1.29,0,21.53,0,0,0,1.21,0,0,0.49,5.34
120,0,0,18,0,0,0,0,0,0,264.96,0,0,0,0,0,20.91,0,0,0,0,0,0,0,3.85
