stage,axial,blastomeres,endoderm,epidermis,eye,ionocyte,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc
  3-4,0,261.49,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.46,613.43,0,0,0,0,0,40.18,0,0,10.04,0,0
  7-9,8.71,17.59,0,0,30.95,0,0,261.04,6.67,0,114.16,0,0
 10-12,0,0,24.15,0,4.15,0,0,38.33,0,0,19.78,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.61,0,1.33,0
 36-46,0,0,0,2.89,0,0,0,0,0,0,0,1.14,0
 48-58,0,0,0,0,1.23,0,0.48,1.67,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.7,0,0,0,1.81,0
 72-82,0,0,0,0,0,0,0.56,10.21,0,0,0,0.49,0
 84-94,0,0,0,0,3.21,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.94,4.53,0,0,0,2.06,0
108-118,0,0,0,0,2.76,0.67,0.71,1.86,0,0,0,0.46,0.79
